BROOKLYN NETS Media Delivery,,SYNC COMPLETE,NO ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010_BKN_PCC,00_3Pointer3D,004_3Pointer3D_RIB_F_v01.mov,1,,1,010,004,010,RIB_F,12s,,-,,,,,010_BKN_PCC,00_3Pointer3D,\010_BKN_PCC\00_3Pointer3D\004_3Pointer3D_RIB_F_v01.mov,-,nclc,nclc,12012,67975215,9504,144,66.000,CFR,29.970,102095494,-,-,-,-,-,-,-,-,010_BKN_PCC
,01_3PointerSubway,014_3PointerSubway_RIB_F_v01.mov,1,,1,010,014,010,RIB_F,13s,,-,,,,,010_BKN_PCC,01_3PointerSubway,\010_BKN_PCC\01_3PointerSubway\014_3PointerSubway_RIB_F_v01.mov,-,nclc,nclc,13013,74202705,9504,144,66.000,CFR,29.970,120731421,-,-,-,-,-,-,-,-,
,02_LetsGoNets3D,024_LetsGoNets3D_RIB_F_v01.mov,1,,1,010,024,010,RIB_F,15s,,-,,,Music from MC,,010_BKN_PCC,02_LetsGoNets3D,\010_BKN_PCC\02_LetsGoNets3D\024_LetsGoNets3D_RIB_F_v01.mov,-,nclc,nclc,15015,19066047,9504,144,66.000,CFR,29.970,35817414,-,-,-,-,-,-,-,-,
,,028_LetsGoNets3D_SCB_v01.mov,1,,1,010,028,017,SCB,10.2s,,-,,,,,010_BKN_PCC,02_LetsGoNets3D,\010_BKN_PCC\02_LetsGoNets3D\028_LetsGoNets3D_SCB_v01.mov,-,nclc,nclc,10211,142558513,1920,1080,1.778,CFR,29.970,181970436,-,-,-,-,-,-,-,-,
,03_BrooklynChant3D,034_BrooklynChant3D_RIB_F_v01.mov,1,,1,010,034,010,RIB_F,15s,,-,,,After a big play - bumper into a hot timeout. Big moment. Goes with Audio from MC,,010_BKN_PCC,03_BrooklynChant3D,\010_BKN_PCC\03_BrooklynChant3D\034_BrooklynChant3D_RIB_F_v01.mov,-,nclc,nclc,15015,40287827,9504,144,66.000,CFR,29.970,75648093,-,-,-,-,-,-,-,-,
,,038_BrooklynChant3D_SCB_v01.mov,1,,1,010,038,017,SCB,10s,,-,,,,,010_BKN_PCC,03_BrooklynChant3D,\010_BKN_PCC\03_BrooklynChant3D\038_BrooklynChant3D_SCB_v01.mov,-,nclc,nclc,10010,344884684,1920,1080,1.778,CFR,29.970,431563636,-,-,-,-,-,-,-,-,
,04_BrooklynChantSpeakers,044_BrooklynChantSpeakers_RIB_F_v01.mov,1,,1,010,044,010,RIB_F,14s,,-,,,,,010_BKN_PCC,04_BrooklynChantSpeakers,\010_BKN_PCC\04_BrooklynChantSpeakers\044_BrooklynChantSpeakers_RIB_F_v01.mov,-,nclc,nclc,14014,119289765,9504,144,66.000,CFR,29.970,208998108,-,-,-,-,-,-,-,-,
,,048_BrooklynChantSpeakers_SCB_v02.mov,2,,2,010,048,017,SCB,14s,,-,,,,,010_BKN_PCC,04_BrooklynChantSpeakers,\010_BKN_PCC\04_BrooklynChantSpeakers\048_BrooklynChantSpeakers_SCB_v02.mov,-,nclc,nclc,14014,314826381,1920,1080,1.778,CFR,29.970,551529722,-,-,-,-,-,-,-,-,
,05_DefenseSubway,054_DefenseSubway_RIB_F_v01.mov,1,,1,010,054,010,RIB_F,12s,,-,,,,,010_BKN_PCC,05_DefenseSubway,\010_BKN_PCC\05_DefenseSubway\054_DefenseSubway_RIB_F_v01.mov,-,nclc,nclc,12012,64844538,9504,144,66.000,CFR,29.970,97394795,-,-,-,-,-,-,-,-,
,,058_DefenseSubway_SCB_v01.mov,1,,1,010,058,017,SCB,12s,,-,,,,,010_BKN_PCC,05_DefenseSubway,\010_BKN_PCC\05_DefenseSubway\058_DefenseSubway_SCB_v01.mov,-,nclc,nclc,12012,325672572,1920,1080,1.778,CFR,29.970,489025564,-,-,-,-,-,-,-,-,
,06_Defense3D,064_Defense_3D_RIB_F_v01.mov,1,,1,010,064,010,RIB_F,15s,,-,,,,,010_BKN_PCC,06_Defense3D,\010_BKN_PCC\06_Defense3D\064_Defense_3D_RIB_F_v01.mov,-,nclc,nclc,15015,202275742,9504,144,66.000,CFR,29.970,379679449,-,-,-,-,-,-,-,-,
,,068_Defense_3D_SCB_v01.mov,1,,1,010,068,017,SCB,,,-F,,,,,010_BKN_PCC,06_Defense3D,\010_BKN_PCC\06_Defense3D\068_Defense_3D_SCB_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,
,07_BrooklynBallBlack,071_BrooklynBall_Black_AUD_F_v01.mov,1,,1,010,071,001,AUD_F,10s,,-,,,,,010_BKN_PCC,07_BrooklynBallBlack,\010_BKN_PCC\07_BrooklynBallBlack\071_BrooklynBall_Black_AUD_F_v01.mov,-,nclc,nclc,10010,826695910,10160,1600,6.350,CFR,29.970,1034433428,-,-,-,-,-,-,-,-,
,,074_BrooklynBall_Black_RIB_F_v01.mov,1,,1,010,074,010,RIB_F,10s,,-,,,,,010_BKN_PCC,07_BrooklynBallBlack,\010_BKN_PCC\07_BrooklynBallBlack\074_BrooklynBall_Black_RIB_F_v01.mov,-,nclc,nclc,10010,106074595,9504,144,66.000,CFR,29.970,132755104,-,-,-,-,-,-,-,-,
,,078_BrooklynBall_Black_SCB_v01.mov,1,,1,010,078,017,SCB,10s,,-,,,,,010_BKN_PCC,07_BrooklynBallBlack,\010_BKN_PCC\07_BrooklynBallBlack\078_BrooklynBall_Black_SCB_v01.mov,-,nclc,nclc,10010,87295556,1920,1080,1.778,CFR,29.970,109257812,-,-,-,-,-,-,-,-,
,08_MakeSomeNoise,081_MakeSomeNoise_AUD_F_v01.mov,1,,1,010,081,001,AUD_F,10s,,-,,,,,010_BKN_PCC,08_MakeSomeNoise,\010_BKN_PCC\08_MakeSomeNoise\081_MakeSomeNoise_AUD_F_v01.mov,-,nclc,nclc,10010,1093922582,10160,1600,6.350,CFR,29.970,1368801169,-,-,-,-,-,-,-,-,
,,084_MakeSomeNoise_RIB_F_v01.mov,1,,1,010,084,010,RIB_F,10s,,-,,,,,010_BKN_PCC,08_MakeSomeNoise,\010_BKN_PCC\08_MakeSomeNoise\084_MakeSomeNoise_RIB_F_v01.mov,-,nclc,nclc,10010,135545874,9504,144,66.000,CFR,29.970,169631113,-,-,-,-,-,-,-,-,
,,088_MakeSomeNoise_SCB_v01.mov,1,,1,010,088,017,SCB,10s,,-,,,,,010_BKN_PCC,08_MakeSomeNoise,\010_BKN_PCC\08_MakeSomeNoise\088_MakeSomeNoise_SCB_v01.mov,-,nclc,nclc,10010,243463920,1920,1080,1.778,CFR,29.970,304664084,-,-,-,-,-,-,-,-,
011_BKN_FERA,00_Fans-Clap,001_FansClap_AUD_F_v01.mov,1,,1,011,001,001,AUD_F,,,-F,,,,,011_BKN_FERA,00_Fans-Clap,\011_BKN_FERA\00_Fans-Clap\001_FansClap_AUD_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,011_BKN_FERA
012_BKN_Image_1,00_NetsLogosWhite,001_NetsLogosWhite_AUD_F_v01.mov,1,,1,012,001,001,AUD_F,30s,,-,,,Use the black ones ,,012_BKN_Image_1,00_NetsLogosWhite,\012_BKN_Image_1\00_NetsLogosWhite\001_NetsLogosWhite_AUD_F_v01.mov,-,nclc,nclc,30030,955048015,10160,1600,6.350,CFR,29.970,3585058874,-,-,-,-,-,-,-,-,012_BKN_Image_1
,,004_NetsLogosWhite_RIB_F_v01.mov,1,,1,012,004,010,RIB_F,30s,,-,,,,,012_BKN_Image_1,00_NetsLogosWhite,\012_BKN_Image_1\00_NetsLogosWhite\004_NetsLogosWhite_RIB_F_v01.mov,-,nclc,nclc,30030,87026494,9504,144,66.000,CFR,29.970,326719827,-,-,-,-,-,-,-,-,
,,008_NetsLogosWhite_SCB_v01.mov,1,,1,012,008,017,SCB,15s,,-,,,,,012_BKN_Image_1,00_NetsLogosWhite,\012_BKN_Image_1\00_NetsLogosWhite\008_NetsLogosWhite_SCB_v01.mov,-,nclc,nclc,15015,215329148,1920,1080,1.778,CFR,29.970,404179110,-,-,-,-,-,-,-,-,
,01_NetsLogosBlack,011_NetsLogosBlack_AUD_F_v01.mov,1,,1,012,011,001,AUD_F,30s,,-,,,,,012_BKN_Image_1,01_NetsLogosBlack,\012_BKN_Image_1\01_NetsLogosBlack\011_NetsLogosBlack_AUD_F_v01.mov,-,nclc,nclc,30030,941156485,10160,1600,6.350,CFR,29.970,3532913504,-,-,-,-,-,-,-,-,
,,014_NetsLogosBlack_RIB_F_v01.mov,1,,1,012,014,010,RIB_F,30s,,-,,,,,012_BKN_Image_1,01_NetsLogosBlack,\012_BKN_Image_1\01_NetsLogosBlack\014_NetsLogosBlack_RIB_F_v01.mov,-,nclc,nclc,30030,85093734,9504,144,66.000,CFR,29.970,319464736,-,-,-,-,-,-,-,-,
,,018_NetsLogosBlack_SCB_v01.mov,1,,1,012,018,017,SCB,15s,,-,,,,,012_BKN_Image_1,01_NetsLogosBlack,\012_BKN_Image_1\01_NetsLogosBlack\018_NetsLogosBlack_SCB_v01.mov,-,nclc,nclc,15015,137086978,1920,1080,1.778,CFR,29.970,257328192,-,-,-,-,-,-,-,-,
,02_NetsvsMagicWhite,021_NetsvsMagicWhite_AUD_F_v01.mov,1,,1,012,021,001,AUD_F,30s,,-,,,,,012_BKN_Image_1,02_NetsvsMagicWhite,\012_BKN_Image_1\02_NetsvsMagicWhite\021_NetsvsMagicWhite_AUD_F_v01.mov,-,nclc,nclc,30030,1135106637,10160,1600,6.350,CFR,29.970,4260954591,-,-,-,-,-,-,-,-,
,,024_NetsvsMagicWhite_RIB_F_v01.mov,1,,1,012,024,010,RIB_F,30s,,-,,,,,012_BKN_Image_1,02_NetsvsMagicWhite,\012_BKN_Image_1\02_NetsvsMagicWhite\024_NetsvsMagicWhite_RIB_F_v01.mov,-,nclc,nclc,30030,74882650,9504,144,66.000,CFR,29.970,281134819,-,-,-,-,-,-,-,-,
,,028_NetsvsMagicWhite_SCB_v01.mov,1,,1,012,028,017,SCB,30s,,-,,,,,012_BKN_Image_1,02_NetsvsMagicWhite,\012_BKN_Image_1\02_NetsvsMagicWhite\028_NetsvsMagicWhite_SCB_v01.mov,-,nclc,nclc,30030,143364723,1920,1080,1.778,CFR,29.970,538199662,-,-,-,-,-,-,-,-,
,03_NetsvsMagicBlack,031_NetsvsMagicBlack_AUD_F_v01.mov,1,,1,012,031,001,AUD_F,30s,,-,,,,,012_BKN_Image_1,03_NetsvsMagicBlack,\012_BKN_Image_1\03_NetsvsMagicBlack\031_NetsvsMagicBlack_AUD_F_v01.mov,-,nclc,nclc,30030,968076127,10160,1600,6.350,CFR,29.970,3633963187,-,-,-,-,-,-,-,-,
,,034_NetsvsMagicBlack_RIB_F_v01.mov,1,,1,012,034,010,RIB_F,30s,,-,,,,,012_BKN_Image_1,03_NetsvsMagicBlack,\012_BKN_Image_1\03_NetsvsMagicBlack\034_NetsvsMagicBlack_RIB_F_v01.mov,-,nclc,nclc,30030,73204563,9504,144,66.000,CFR,29.970,274835693,-,-,-,-,-,-,-,-,
,,038_NetsvsMagicBlack_SCB_v01.mov,1,,1,012,038,017,SCB,30s,,-,,,,,012_BKN_Image_1,03_NetsvsMagicBlack,\012_BKN_Image_1\03_NetsvsMagicBlack\038_NetsvsMagicBlack_SCB_v01.mov,-,nclc,nclc,30030,131856303,1920,1080,1.778,CFR,29.970,494999867,-,-,-,-,-,-,-,-,
