BOSTON CELTICS Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020_BOS_PCC,00_LETSGOCELTICS1,000_LETSGOCELTICS1_AUDIO_v01.mov,1,,1,020,000,024,AUDIO,6.9s,,-,,,Use these alot ,,020_BOS_PCC,00_LETSGOCELTICS1,\020_BOS_PCC\00_LETSGOCELTICS1\000_LETSGOCELTICS1_AUDIO_v01.mov,-,nclc,nclc,6907,81517,16,16,1.000,CFR,29.970,1490637,PCM,Little / Signed,sowt,6907,2,L R,48000,16
,,001_LETSGOCELTICS1_AUD_F_v01.mov,1,,1,020,001,001,AUD_F,6.9s,,-,,,,,020_BOS_PCC,00_LETSGOCELTICS1,\020_BOS_PCC\00_LETSGOCELTICS1\001_LETSGOCELTICS1_AUD_F_v01.mov,-,nclc,nclc,6907,3394528046,10160,1600,6.350,CFR,29.970,2932070531,PCM,Little / Signed,sowt,6907,2,L R,48000,16
,,004_LETSGOCELTICS1_RIB_F_v02.mov,2,,2,020,004,010,RIB_F,6.9s,,-,,,,,020_BOS_PCC,00_LETSGOCELTICS1,\020_BOS_PCC\00_LETSGOCELTICS1\004_LETSGOCELTICS1_RIB_F_v02.mov,-,nclc,nclc,6907,289586941,9504,144,66.000,CFR,29.970,251378113,PCM,Little / Signed,sowt,6907,2,L R,48000,16
,,008_LETSGOCELTICS1_SCB_v02.mov,2,,1,020,008,017,SCB,6.9s,,-,,,,7/18/2020 13:51:59,020_BOS_PCC,00_LETSGOCELTICS1,\020_BOS_PCC\00_LETSGOCELTICS1\008_LETSGOCELTICS1_SCB_v02.mov,-,nclc,nclc,6907,545047286,1920,1080,1.778,CFR,29.970,471933614,PCM,Little / Signed,sowt,6907,2,L R,48000,16
,01_LETSGOCELTICS2,010_LETSGOCELTICS2_AUDIO_v01.mov,1,,1,020,010,024,AUDIO,13.8s,,-,,,,,020_BOS_PCC,01_LETSGOCELTICS2,\020_BOS_PCC\01_LETSGOCELTICS2\010_LETSGOCELTICS2_AUDIO_v01.mov,-,nclc,nclc,13814,80733,16,16,1.000,CFR,29.970,3037401,PCM,Little / Signed,sowt,13814,2,L R,48000,16
,,011_LETSGOCELTICS2_AUD_F_v01.mov,1,,1,020,011,001,AUD_F,13.8s,,-,,,,,020_BOS_PCC,01_LETSGOCELTICS2,\020_BOS_PCC\01_LETSGOCELTICS2\011_LETSGOCELTICS2_AUD_F_v01.mov,-,nclc,nclc,13814,3356060101,10160,1600,6.350,CFR,29.970,5797692603,PCM,Little / Signed,sowt,13814,2,L R,48000,16
,,014_LETSGOCELTICS2_RIB_F_v02.mov,2,,2,020,014,010,RIB_F,13.8s,,-,,,,,020_BOS_PCC,01_LETSGOCELTICS2,\020_BOS_PCC\01_LETSGOCELTICS2\014_LETSGOCELTICS2_RIB_F_v02.mov,-,nclc,nclc,13814,263733977,9504,144,66.000,CFR,29.970,458090426,PCM,Little / Signed,sowt,13814,2,L R,48000,16
,,018_LETSGOCELTICS2_SCB_v02.mov,2,,1,020,018,017,SCB,13.8s,,-,,,,7/18/2020 13:52:15,020_BOS_PCC,01_LETSGOCELTICS2,\020_BOS_PCC\01_LETSGOCELTICS2\018_LETSGOCELTICS2_SCB_v02.mov,-,nclc,nclc,13814,545057899,1920,1080,1.778,CFR,29.970,943859970,PCM,Little / Signed,sowt,13814,2,L R,48000,16
,02_LETSGOCELTICS3,,,,,,,,,,,-,,,,,020_BOS_PCC,02_LETSGOCELTICS3,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
