DALLAS MAVERICKS Media Delivery,,SYNC COMPLETE,NO ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030_DAL_PCC,00_EqualityWIL01,001_EqualityWIL01_AUD_F_v01.mov,1,,,030,001,001,AUD_F,10s,?,-,19,,When he blocks a shot,,030_DAL_PCC,00_EqualityWIL01,\030_DAL_PCC\00_EqualityWIL01\001_EqualityWIL01_AUD_F_v01.mov,-,nclc,nclc,10010,3285351084,10160,1600,6.350,CFR,29.970,4112601971,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,004_EqualityWIL01_RIB_F_v01.mov,1,,,030,004,010,RIB_F,10s,,-,19,,,,030_DAL_PCC,00_EqualityWIL01,\030_DAL_PCC\00_EqualityWIL01\004_EqualityWIL01_RIB_F_v01.mov,-,nclc,nclc,10010,325423196,9504,144,66.000,CFR,29.970,409263519,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,008_EqualityWIL01_SCB_v01.mov,1,,,030,008,017,SCB,10s,,-,19,,,,030_DAL_PCC,00_EqualityWIL01,\030_DAL_PCC\00_EqualityWIL01\008_EqualityWIL01_SCB_v01.mov,-,nclc,nclc,10010,414543827,1920,1080,1.778,CFR,29.970,520500796,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,01_KRISSTOPS,011_KRISSTOPS_AUD_F_v01.mov,1,,1,030,011,001,AUD_F,,,-,,,,7/23/2020 16:49:48,030_DAL_PCC,01_KRISSTOPS,\030_DAL_PCC\01_KRISSTOPS\011_KRISSTOPS_AUD_F_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,014_KRISSTOPS_RIB_F_v01.mov,1,,1,030,014,010,RIB_F,,,-,,,,7/23/2020 16:49:48,030_DAL_PCC,01_KRISSTOPS,\030_DAL_PCC\01_KRISSTOPS\014_KRISSTOPS_RIB_F_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,018_KRISSTOPS_SCB_v01.mov,1,,1,030,018,017,SCB,,,-,,,,7/23/2020 16:49:49,030_DAL_PCC,01_KRISSTOPS,\030_DAL_PCC\01_KRISSTOPS\018_KRISSTOPS_SCB_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,02_LETS_GO_MAVS_SUPER8,021_LETS_GO_MAVS_SUPER8_AUD_F_v01.mov,1,,1,030,021,001,AUD_F,10s,,-,45,,Offense basic ,,030_DAL_PCC,02_LETS_GO_MAVS_SUPER8,\030_DAL_PCC\02_LETS_GO_MAVS_SUPER8\021_LETS_GO_MAVS_SUPER8_AUD_F_v01.mov,-,nclc,nclc,10010,4232900262,10160,1600,6.350,CFR,29.970,5298445217,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,024_LETS_GO_MAVS_SUPER8_RIB_F_v01.mov,1,,1,030,024,010,RIB_F,10s,,-,45,,,,030_DAL_PCC,02_LETS_GO_MAVS_SUPER8,\030_DAL_PCC\02_LETS_GO_MAVS_SUPER8\024_LETS_GO_MAVS_SUPER8_RIB_F_v01.mov,-,nclc,nclc,10010,367916015,9504,144,66.000,CFR,29.970,462386166,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,028_LETS_GO_MAVS_SUPER8_SCB_v01.mov,1,,1,030,028,017,SCB,10s,,-,45,,,,030_DAL_PCC,02_LETS_GO_MAVS_SUPER8,\030_DAL_PCC\02_LETS_GO_MAVS_SUPER8\028_LETS_GO_MAVS_SUPER8_SCB_v01.mov,-,nclc,nclc,10010,486213744,1920,1080,1.778,CFR,29.970,610282704,PCM,Little / Signed,sowt,10010,2,L R,44100,16
