DENVER NUGGETS Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040_DEN_PCC,00_Nuggets_Ball,004_NuggetsBall_RIB_F_v01.mov,1,,,040,004,010,RIB_F,4.03s,,-,,,,7/22/2020 19:13:26,040_DEN_PCC,00_Nuggets_Ball,\040_DEN_PCC\00_Nuggets_Ball\004_NuggetsBall_RIB_F_v01.mov,-,nclc,nclc,4038,266293885,9504,144,66.000,CFR,29.970,134392483,-,-,-,-,-,-,-,-
,01_ThreePointer,014_ThreePointer_RIB_F_v00.mov,,,,040,014,010,RIB_F,,,-,,,,,040_DEN_PCC,01_ThreePointer,\040_DEN_PCC\01_ThreePointer\014_ThreePointer_RIB_F_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,-,,,,,040_DEN_PCC,01_ThreePointer,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
041_DEN_FERA,00_MaryLouiseLee_Anthem,000_MaryLouiseLee_Anthem_AUDIO_v00.mov,0,,0,041,000,024,AUDIO,1m46.73s,,-,,,,,041_DEN_FERA,00_MaryLouiseLee_Anthem,\041_DEN_FERA\00_MaryLouiseLee_Anthem\000_MaryLouiseLee_Anthem_AUDIO_v00.mov,-,nclc,nclc,106841,77098,16,16,1.000,CFR,29.970,21701520,PCM,Little / Signed,sowt,106841,2,L R,48000,16
,,008_MaryLouiseLee_Anthem_SCB_v00.mov,0,,,041,008,017,SCB,1m46.73s,,-,,,,7/21/2020 13:14:03,041_DEN_FERA,00_MaryLouiseLee_Anthem,\041_DEN_FERA\00_MaryLouiseLee_Anthem\008_MaryLouiseLee_Anthem_SCB_v00.mov,-,nclc,nclc,106841,581531600,1920,1080,1.778,CFR,29.970,7787039001,PCM,Little / Signed,sowt,106841,2,L R,48000,16
,01_Rapp_Anthem,010_Rapp_Anthem_AUDIO_v00.mov,0,,0,041,010,024,AUDIO,1m40s,,-,,,,,041_DEN_FERA,01_Rapp_Anthem,\041_DEN_FERA\01_Rapp_Anthem\010_Rapp_Anthem_AUDIO_v00.mov,-,nclc,nclc,100100,75035,16,16,1.000,CFR,29.970,20334784,PCM,Little / Signed,sowt,100100,2,L R,48000,16
,,018_Rapp_Anthem_SCB_v00.mov,0,,0,041,018,017,SCB,1m40s,,-,,,,,041_DEN_FERA,01_Rapp_Anthem,\041_DEN_FERA\01_Rapp_Anthem\018_Rapp_Anthem_SCB_v00.mov,-,nclc,nclc,100100,607897764,1920,1080,1.778,CFR,29.970,7624162721,PCM,Little / Signed,sowt,100100,2,L R,44100,16
,02_Soul_Real_Anthem,020_SoulReal_Anthem_AUDIO_v00.mov,0,,0,041,020,024,AUDIO,,,-F,,,,,041_DEN_FERA,02_Soul_Real_Anthem,\041_DEN_FERA\02_Soul_Real_Anthem\020_SoulReal_Anthem_AUDIO_v00.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,028_Soul_Real_Anthem_SCB_v00.mov,0,,0,041,028,017,SCB,,,-F,,,,,041_DEN_FERA,02_Soul_Real_Anthem,\041_DEN_FERA\02_Soul_Real_Anthem\028_Soul_Real_Anthem_SCB_v00.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,03_Sue_Charles_Anthem,030_Sue_Charles_Anthem_AUDIO_v00.mov,0,,0,041,030,024,AUDIO,1m27.1s,,-,,,,,041_DEN_FERA,03_Sue_Charles_Anthem,\041_DEN_FERA\03_Sue_Charles_Anthem\030_Sue_Charles_Anthem_AUDIO_v00.mov,-,nclc,nclc,87188,77435,16,16,1.000,CFR,29.970,17718740,PCM,Little / Signed,sowt,87188,2,L R,48000,16
,,038_Sue_Charles_Anthem_SCB_v00.mov,0,,0,041,038,017,SCB,1m27.1s,,-,,,,,041_DEN_FERA,03_Sue_Charles_Anthem,\041_DEN_FERA\03_Sue_Charles_Anthem\038_Sue_Charles_Anthem_SCB_v00.mov,-,nclc,nclc,87188,631223861,1920,1080,1.778,CFR,29.970,6896203939,PCM,Little / Signed,sowt,87188,2,L R,48000,16
,04_Elshaddai_Mulugeta_Anthem,040_Elshaddai_Mulugeta_Anthem_AUDIO_v00.mov,0,,0,041,040,024,AUDIO,1m49.57s,,-,,,,,041_DEN_FERA,04_Elshaddai_Mulugeta_Anthem,\041_DEN_FERA\04_Elshaddai_Mulugeta_Anthem\040_Elshaddai_Mulugeta_Anthem_AUDIO_v00.mov,-,nclc,nclc,109677,76964,16,16,1.000,CFR,29.970,22274262,PCM,Little / Signed,sowt,109677,2,L R,48000,16
,,048_Elshaddai_Mulugeta_Anthem_SCB_v00.mov,0,,0,041,048,017,SCB,1m49.57s,,-,,,,,041_DEN_FERA,04_Elshaddai_Mulugeta_Anthem,\041_DEN_FERA\04_Elshaddai_Mulugeta_Anthem\048_Elshaddai_Mulugeta_Anthem_SCB_v00.mov,-,nclc,nclc,109677,519683987,1920,1080,1.778,CFR,29.970,7145849023,PCM,Little / Signed,sowt,109677,2,L R,48000,16
042_DEN_Image_1,00_Primary_ScreenSaver,001_Primary_ScreenSaver_AUD_F_v00.mov,0,,0,042,001,001,AUD_F,10s,,-,,,Generic Look for regular jerseys ,,042_DEN_Image_1,00_Primary_ScreenSaver,\042_DEN_Image_1\00_Primary_ScreenSaver\001_Primary_ScreenSaver_AUD_F_v00.mov,-,nclc,nclc,10010,3092814424,10160,1600,6.350,CFR,29.970,3871813435,PCM,Little / Signed,sowt,10011,2,L R,48000,16
,,004_Primary_ScreenSaver_RIB_F_v01.mov,1,,1,042,004,010,RIB_F,10s,,-,,,,,042_DEN_Image_1,00_Primary_ScreenSaver,\042_DEN_Image_1\00_Primary_ScreenSaver\004_Primary_ScreenSaver_RIB_F_v01.mov,-,nclc,nclc,10010,319797158,9504,144,66.000,CFR,29.970,402072111,PCM,Little / Signed,sowt,10011,2,L R,48000,16
,,008_Primary_ScreenSaver_SCB_v00.mov,0,,0,042,008,017,SCB,10s,,-,,,,,042_DEN_Image_1,00_Primary_ScreenSaver,\042_DEN_Image_1\00_Primary_ScreenSaver\008_Primary_ScreenSaver_SCB_v00.mov,-,nclc,nclc,10010,498489117,1920,1080,1.778,CFR,29.970,625660649,PCM,Little / Signed,sowt,10011,2,L R,48000,16
,01_Skyline_ScreenSaver,011_Skyline_ScreenSaver_AUD_F_v00.mov,0,,0,042,011,001,AUD_F,10s,,-,,,Other Jerseys ,,042_DEN_Image_1,01_Skyline_ScreenSaver,\042_DEN_Image_1\01_Skyline_ScreenSaver\011_Skyline_ScreenSaver_AUD_F_v00.mov,-,nclc,nclc,10010,2239416349,10160,1600,6.350,CFR,29.970,2803998026,PCM,Little / Signed,sowt,10011,2,L R,48000,16
,,014_Skyline_ScreenSaver_RIB_F_v01.mov,1,,1,042,014,010,RIB_F,10s,,-,,,,,042_DEN_Image_1,01_Skyline_ScreenSaver,\042_DEN_Image_1\01_Skyline_ScreenSaver\014_Skyline_ScreenSaver_RIB_F_v01.mov,-,nclc,nclc,10010,118214873,9504,144,66.000,CFR,29.970,149841741,PCM,Little / Signed,sowt,10011,2,L R,48000,16
,,018_Skyline_ScreenSaver_SCB_v00.mov,0,,0,042,018,017,SCB,10s,,-,,,,,042_DEN_Image_1,01_Skyline_ScreenSaver,\042_DEN_Image_1\01_Skyline_ScreenSaver\018_Skyline_ScreenSaver_SCB_v00.mov,-,nclc,nclc,10010,413159151,1920,1080,1.778,CFR,29.970,518891422,PCM,Little / Signed,sowt,10011,2,L R,48000,16
,02_MHC_ScreenSaver,021_MHC_ScreenSaver_AUD_F_v00.mov,0,,0,042,021,001,AUD_F,10s,,-,,,Other Other Jersey ,,042_DEN_Image_1,02_MHC_ScreenSaver,\042_DEN_Image_1\02_MHC_ScreenSaver\021_MHC_ScreenSaver_AUD_F_v00.mov,-,nclc,nclc,10010,3901360933,10160,1600,6.350,CFR,29.970,4883509510,PCM,Little / Signed,sowt,10011,2,L R,48000,16
,,024_MHC_ScreenSaver_RIB_F_v02.mov,2,,2,042,024,010,RIB_F,10s,,-,,,,,042_DEN_Image_1,02_MHC_ScreenSaver,\042_DEN_Image_1\02_MHC_ScreenSaver\024_MHC_ScreenSaver_RIB_F_v02.mov,-,nclc,nclc,10010,383546753,9504,144,66.000,CFR,29.970,481838872,PCM,Little / Signed,sowt,10011,2,L R,48000,16
,,028_MHC_ScreenSaver_SCB_v00.mov,0,,0,042,028,017,SCB,10s,,-,,,,,042_DEN_Image_1,02_MHC_ScreenSaver,\042_DEN_Image_1\02_MHC_ScreenSaver\028_MHC_ScreenSaver_SCB_v00.mov,-,nclc,nclc,10010,536464176,1920,1080,1.778,CFR,29.970,673176988,PCM,Little / Signed,sowt,10011,2,L R,48000,16
,03_Playoff_ScreenSaver,031_Playoff_ScreenSaver_AUD_F_v00.mov,0,,,042,031,001,AUD_F,,,-,,,,7/23/2020 20:09:35,042_DEN_Image_1,03_Playoff_ScreenSaver,\042_DEN_Image_1\03_Playoff_ScreenSaver\031_Playoff_ScreenSaver_AUD_F_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,034_Playoff_ScreenSaver_RIB_F_v00.mov,0,,,042,034,010,RIB_F,,,-,,,,7/23/2020 20:09:35,042_DEN_Image_1,03_Playoff_ScreenSaver,\042_DEN_Image_1\03_Playoff_ScreenSaver\034_Playoff_ScreenSaver_RIB_F_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,038_Playoff_ScreenSaver_SCB_v00.mov,0,,,042,038,017,SCB,,,-,,,,,042_DEN_Image_1,03_Playoff_ScreenSaver,\042_DEN_Image_1\03_Playoff_ScreenSaver\038_Playoff_ScreenSaver_SCB_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,04_Primary_Still_ScreenSaver,041_Primary_Still_ScreenSaver_AUD_F_v00.mov,0,,,042,041,001,AUD_F,,,-,,,,7/23/2020 20:09:35,042_DEN_Image_1,04_Primary_Still_ScreenSaver,\042_DEN_Image_1\04_Primary_Still_ScreenSaver\041_Primary_Still_ScreenSaver_AUD_F_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,044_Primary_Still_ScreenSaver_RIB_F_v00.mov,0,,,042,044,010,RIB_F,,,-,,,,7/23/2020 20:09:38,042_DEN_Image_1,04_Primary_Still_ScreenSaver,\042_DEN_Image_1\04_Primary_Still_ScreenSaver\044_Primary_Still_ScreenSaver_RIB_F_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,048_Primary_Still_ScreenSaver_SCB_v00.mov,0,,,042,048,017,SCB,,,-,,,,,042_DEN_Image_1,04_Primary_Still_ScreenSaver,\042_DEN_Image_1\04_Primary_Still_ScreenSaver\048_Primary_Still_ScreenSaver_SCB_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,05_Skyline_Still_ScreenSaver,051_Skyline_Still_ScreenSaver_AUD_F_v00.mov,0,,,042,051,001,AUD_F,,,-,,,,,042_DEN_Image_1,05_Skyline_Still_ScreenSaver,\042_DEN_Image_1\05_Skyline_Still_ScreenSaver\051_Skyline_Still_ScreenSaver_AUD_F_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,054_Skyline_Still_ScreenSaver_RIB_F_v00.mov,0,,,042,054,010,RIB_F,,,-,,,,7/23/2020 20:09:38,042_DEN_Image_1,05_Skyline_Still_ScreenSaver,\042_DEN_Image_1\05_Skyline_Still_ScreenSaver\054_Skyline_Still_ScreenSaver_RIB_F_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,058_Skyline_Still_ScreenSaver_SCB_v00.mov,0,,,042,058,017,SCB,,,-,,,,,042_DEN_Image_1,05_Skyline_Still_ScreenSaver,\042_DEN_Image_1\05_Skyline_Still_ScreenSaver\058_Skyline_Still_ScreenSaver_SCB_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,06_MHC_Still_ScreenSaver,061_MHC_Still_ScreenSaver_AUD_F_v00.mov,0,,,042,061,001,AUD_F,,,-,,,,7/23/2020 20:09:38,042_DEN_Image_1,06_MHC_Still_ScreenSaver,\042_DEN_Image_1\06_MHC_Still_ScreenSaver\061_MHC_Still_ScreenSaver_AUD_F_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,064_MHC_Still_ScreenSaver_RIB_F_v00.mov,0,,,042,064,010,RIB_F,,,-,,,,,042_DEN_Image_1,06_MHC_Still_ScreenSaver,\042_DEN_Image_1\06_MHC_Still_ScreenSaver\064_MHC_Still_ScreenSaver_RIB_F_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,068_MHC_Still_ScreenSaver_SCB_v00.mov,0,,,042,068,017,SCB,,,-,,,,,042_DEN_Image_1,06_MHC_Still_ScreenSaver,\042_DEN_Image_1\06_MHC_Still_ScreenSaver\068_MHC_Still_ScreenSaver_SCB_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,07_Playoff_Still_ScreenSaver,071_Playoff_Still_ScreenSaver_AUD_F_v00.mov,0,,,042,071,001,AUD_F,,,-,,,,,042_DEN_Image_1,07_Playoff_Still_ScreenSaver,\042_DEN_Image_1\07_Playoff_Still_ScreenSaver\071_Playoff_Still_ScreenSaver_AUD_F_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,074_Playoff_Still_ScreenSaver_RIB_F_v00.mov,0,,,042,074,010,RIB_F,,,-,,,,,042_DEN_Image_1,07_Playoff_Still_ScreenSaver,\042_DEN_Image_1\07_Playoff_Still_ScreenSaver\074_Playoff_Still_ScreenSaver_RIB_F_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,078_Playoff_Still_ScreenSaver_SCB_v00.mov,0,,,042,078,017,SCB,,,-,,,,7/23/2020 20:09:41,042_DEN_Image_1,07_Playoff_Still_ScreenSaver,\042_DEN_Image_1\07_Playoff_Still_ScreenSaver\078_Playoff_Still_ScreenSaver_SCB_v00.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,-,,,,,042_DEN_Image_1,07_Playoff_Still_ScreenSaver,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
043_DEN_Image_2,,,,,,,,,,,,-,,,,,043_DEN_Image_2,07_Playoff_Still_ScreenSaver,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
044_DEN_Video,00_LookFeel_Open,000_LookFeel_Open_AUDIO_v00.mov,0,,0,044,000,024,AUDIO,1m5.97s,,-,,,"Hype Video open, Jersey ",,044_DEN_Video,00_LookFeel_Open,\044_DEN_Video\00_LookFeel_Open\000_LookFeel_Open_AUDIO_v00.mov,-,nclc,nclc,66033,91295,16,16,1.000,CFR,29.970,13441456,PCM,Little / Signed,sowt,66033,2,L R,48000,16
