HOUSTON ROCKETS Media Delivery,,SYNC ACTIVE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,CFD,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050_HOU_PCC,00_LGR_BlueBall,004_LGR_BlueBall_RIB_F_v01.mov,1,,1,050,004,010,RIB_F,3.47s,?,-,33,,"Audio from MC, use on offense, etc ",,050_HOU_PCC,00_LGR_BlueBall,\050_HOU_PCC\00_LGR_BlueBall\004_LGR_BlueBall_RIB_F_v01.mov,-,nclc,nclc,3471,329947840,9504,144,66.000,CFR,29.970,143122026,-,-,-,-,-,-,-,-
,01_LGR_BlueTiles,014_LGR_BlueTiles_RIB_F_v01.mov,1,,1,050,014,010,RIB_F,20.03s,,-,34,,,,050_HOU_PCC,01_LGR_BlueTiles,\050_HOU_PCC\01_LGR_BlueTiles\014_LGR_BlueTiles_RIB_F_v01.mov,-,nclc,nclc,20054,263018828,9504,144,66.000,CFR,29.970,659307768,-,-,-,-,-,-,-,-
,02_LGR_Energy,024_LGR_Energy_RIB_F_v01.mov,1,,1,050,024,010,RIB_F,,,-F,35,,,,050_HOU_PCC,02_LGR_Energy,\050_HOU_PCC\02_LGR_Energy\024_LGR_Energy_RIB_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,03_LGR_Gold,034_LGR_Gold_RIB_F_v01.mov,1,,1,050,034,010,RIB_F,3.47s,,-,36,,,,050_HOU_PCC,03_LGR_Gold,\050_HOU_PCC\03_LGR_Gold\034_LGR_Gold_RIB_F_v01.mov,-,nclc,nclc,3471,255785478,9504,144,66.000,CFR,29.970,110952833,-,-,-,-,-,-,-,-
,04_LGR_Paint,044_LGR_Paint_RIB_F_v01.mov,1,,1,050,044,010,RIB_F,,,-F,37,,,,050_HOU_PCC,04_LGR_Paint,\050_HOU_PCC\04_LGR_Paint\044_LGR_Paint_RIB_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,05_LGR_Signs,054_LGR_Signs_RIB_F_v01.mov,1,,1,050,054,010,RIB_F,20.03s,,-,38,,,,050_HOU_PCC,05_LGR_Signs,\050_HOU_PCC\05_LGR_Signs\054_LGR_Signs_RIB_F_v01.mov,-,nclc,nclc,20054,170754954,9504,144,66.000,CFR,29.970,428032423,-,-,-,-,-,-,-,-
,06_Defense_Doors,064_Defense_Doors_RIB_F_v01.mov,1,,1,050,064,010,RIB_F,,,-F,41,,,,050_HOU_PCC,06_Defense_Doors,\050_HOU_PCC\06_Defense_Doors\064_Defense_Doors_RIB_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,07_Defense_Terminator,074_Defense_Terminator_RIB_F_v01.mov,1,,1,050,074,010,RIB_F,,,-F,42,,,,050_HOU_PCC,07_Defense_Terminator,\050_HOU_PCC\07_Defense_Terminator\074_Defense_Terminator_RIB_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,08_Defense_R,084_Defense_R_RIB_F_v00.mov,0,,,050,084,010,RIB_F,12.03s,,-,43,,,,050_HOU_PCC,08_Defense_R,\050_HOU_PCC\08_Defense_R\084_Defense_R_RIB_F_v00.mov,-,nclc,nclc,12046,232088541,9504,144,66.000,CFR,29.970,349452860,-,-,-,-,-,-,-,-
