9,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,CFD,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060_IND_PCC,00_HereWeGoPacersCHANT,000_HereWeGoPacersCHANT_AUDIO_v02.mov,2,,1,060,000,024,AUDIO,6.53s,,-,45,,Coming out of a time out. Nothing super specific ,7/22/2020 14:21:08,060_IND_PCC,00_HereWeGoPacersCHANT,\060_IND_PCC\00_HereWeGoPacersCHANT\000_HereWeGoPacersCHANT_AUDIO_v02.mov,-,nclc,nclc,6540,77676,16,16,1.000,CFR,29.970,3612597,PCM,Little / Signed,sowt,6540,2,L R,48000,16
,,001_HereWeGoPacersCHANT_AUD_F_v01.mov,1,,1,060,001,001,AUD_F,6.53s,,-,45,,,,060_IND_PCC,00_HereWeGoPacersCHANT,\060_IND_PCC\00_HereWeGoPacersCHANT\001_HereWeGoPacersCHANT_AUD_F_v01.mov,-,nclc,nclc,6540,1217696366,10160,1600,6.350,CFR,29.970,998707114,PCM,Little / Signed,sowt,6540,2,L R,44100,16
,,004_HereWeGoPacersCHANT_RIB_F_v01.mov,1,,1,060,004,010,RIB_F,6.53s,,-,45,,,,060_IND_PCC,00_HereWeGoPacersCHANT,\060_IND_PCC\00_HereWeGoPacersCHANT\004_HereWeGoPacersCHANT_RIB_F_v01.mov,-,nclc,nclc,6540,97149147,9504,144,66.000,CFR,29.970,82659996,PCM,Little / Signed,sowt,6540,2,L R,44100,16
,01_LetsGoPacersCHANT,010_LetsGoPacersCHANT_AUDIO_v03.mov,3,,2,060,010,024,AUDIO,6.53s,,-,46,,,7/22/2020 14:21:31,060_IND_PCC,01_LetsGoPacersCHANT,\060_IND_PCC\01_LetsGoPacersCHANT\010_LetsGoPacersCHANT_AUDIO_v03.mov,-,nclc,nclc,6540,79041,16,16,1.000,CFR,29.970,1356583,PCM,Little / Signed,sowt,6540,2,L R,48000,16
,,011_LetsGoPacersCHANT_AUD_F_v03.mov,3,,2,060,011,001,AUD_F,6.53s,,-,46,,,7/18/2020,060_IND_PCC,01_LetsGoPacersCHANT,\060_IND_PCC\01_LetsGoPacersCHANT\011_LetsGoPacersCHANT_AUD_F_v03.mov,-,nclc,nclc,6540,1147276422,10160,1600,6.350,CFR,29.970,939066108,PCM,Little / Signed,sowt,6540,2,L R,44100,16
,,014_LetsGoPacersCHANT_RIB_F_v02.mov,2,,2,060,014,010,RIB_F,6.53s,,-,46,,,,060_IND_PCC,01_LetsGoPacersCHANT,\060_IND_PCC\01_LetsGoPacersCHANT\014_LetsGoPacersCHANT_RIB_F_v02.mov,-,nclc,nclc,6540,110136516,9504,144,66.000,CFR,29.970,91220668,PCM,Little / Signed,sowt,6540,2,L R,44100,16
,02_Indy_AnnaCHANT,020_Indy_AnnaCHANT_AUDIO_v05.mov,5,,1,060,020,024,AUDIO,6.5s,,-,47,,Have updates,,060_IND_PCC,02_Indy_AnnaCHANT,\060_IND_PCC\02_Indy_AnnaCHANT\020_Indy_AnnaCHANT_AUDIO_v05.mov,-,nclc,nclc,6507,51014,16,16,1.000,CFR,29.970,1292767,PCM,Little / Signed,sowt,6507,2,L R,48000,16
,,021_Indy_AnnaCHANT_AUD_F_v05.mov,5,,2,060,021,001,AUD_F,6.53s,,-,47,,,,060_IND_PCC,02_Indy_AnnaCHANT,\060_IND_PCC\02_Indy_AnnaCHANT\021_Indy_AnnaCHANT_AUD_F_v05.mov,-,nclc,nclc,6540,787927891,10160,1600,6.350,CFR,29.970,645376964,PCM,Little / Signed,sowt,6540,2,L R,48000,16
,,024_Indy_AnnaCHANT_RIB_F_v05.mov,5,,2,060,024,010,RIB_F,6.53s,,-,47,,,,060_IND_PCC,02_Indy_AnnaCHANT,\060_IND_PCC\02_Indy_AnnaCHANT\024_Indy_AnnaCHANT_RIB_F_v05.mov,-,nclc,nclc,6540,73502965,9504,144,66.000,CFR,29.970,60089453,-,-,-,-,-,-,-,-
