LA CLIPPERS Media Delivery,,SYNC ACTIVE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Content Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Kerstin Notes,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,Audio Format,Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070_LAC_PCC,00_Airball,001_Airball_AUD_F_v00.mov,0,,0,070,001,001,AUD_F,10s,,-,,,,7/22/2020,070_LAC_PCC,00_Airball,\070_LAC_PCC\00_Airball\001_Airball_AUD_F_v00.mov,-,nclc,nclc,10010,3466831723,10160,1600,6.350,CFR,29.970,4337881807,-,-,-,-,-,-,-,-
,,004_Airball_RIB_F_v00.mov,0,,0,070,004,010,RIB_F,10s,,-,,,,,070_LAC_PCC,00_Airball,\070_LAC_PCC\00_Airball\004_Airball_RIB_F_v00.mov,-,nclc,nclc,10010,241403035,9504,144,66.000,CFR,29.970,302058925,-,-,-,-,-,-,-,-
,,008_Airball_SCB_v00.mov,0,,0,070,008,017,SCB,10s,,-,,,,,070_LAC_PCC,00_Airball,\070_LAC_PCC\00_Airball\008_Airball_SCB_v00.mov,-,nclc,nclc,10010,586345863,1920,1080,1.778,CFR,29.970,733669071,-,-,-,-,-,-,-,-
,01_4thQuarterStartsNow,011_4thQuarterStartsNow_AUD_F_v00.mov,0,,0,070,011,001,AUD_F,10s,,-,,,,,070_LAC_PCC,01_4thQuarterStartsNow,\070_LAC_PCC\01_4thQuarterStartsNow\011_4thQuarterStartsNow_AUD_F_v00.mov,-,nclc,nclc,10010,2878174855,10160,1600,6.350,CFR,29.970,3601322965,-,-,-,-,-,-,-,-
,,014_4thQuarterStartsNow_RIB_F_v00.mov,0,,0,070,014,010,RIB_F,10s,,-,,,,,070_LAC_PCC,01_4thQuarterStartsNow,\070_LAC_PCC\01_4thQuarterStartsNow\014_4thQuarterStartsNow_RIB_F_v00.mov,-,nclc,nclc,10010,213718254,9504,144,66.000,CFR,29.970,267418309,-,-,-,-,-,-,-,-
,,018_4thQuarterStartsNow_SCB_v00.mov,0,,0,070,018,017,SCB,10s,,-,,,,,070_LAC_PCC,01_4thQuarterStartsNow,\070_LAC_PCC\01_4thQuarterStartsNow\018_4thQuarterStartsNow_SCB_v00.mov,-,nclc,nclc,10010,576985860,1920,1080,1.778,CFR,29.970,721957355,-,-,-,-,-,-,-,-
,02_And1,021_And1_AUD_F_v00.mov,0,,0,070,021,001,AUD_F,10s,,-,,,,,070_LAC_PCC,02_And1,\070_LAC_PCC\02_And1\021_And1_AUD_F_v00.mov,-,nclc,nclc,10010,3262991430,10160,1600,6.350,CFR,29.970,4082825185,-,-,-,-,-,-,-,-
,,024_And1_RIB_F_v00.mov,0,,0,070,024,010,RIB_F,10s,,-,,,,,070_LAC_PCC,02_And1,\070_LAC_PCC\02_And1\024_And1_RIB_F_v00.mov,-,nclc,nclc,10010,243616883,9504,144,66.000,CFR,29.970,304829006,-,-,-,-,-,-,-,-
,,028_And1_SCB_v00.mov,0,,0,070,028,017,SCB,10s,,-,,,,,070_LAC_PCC,02_And1,\070_LAC_PCC\02_And1\028_And1_SCB_v00.mov,-,nclc,nclc,10010,581424558,1920,1080,1.778,CFR,29.970,727511282,-,-,-,-,-,-,-,-
