LA LAKERS Media Delivery,,SYNC ACTIVE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080_LAL_PCC,00_LogoLoop,001_LogoLoop_AUD_F_v04.mov,4,,2,080,001,001,AUD_F,28.67s,,-,,,Generic ALL the time. Background for SCB only looks ,7/23/2020 15:33:12,080_LAL_PCC,00_LogoLoop,\080_LAL_PCC\00_LogoLoop\001_LogoLoop_AUD_F_v04.mov,-,nclc,nclc,28696,504965260,9760,800,12.200,CFR,29.970,1818046643,PCM,Little / Signed,sowt,28696,2,L R,44100,16
,,004_LogoLoop_RIB_F_v02.mov,2,,2,080,004,010,RIB_F,10.03s,,-,,,,,080_LAL_PCC,00_LogoLoop,\080_LAL_PCC\00_LogoLoop\004_LogoLoop_RIB_F_v02.mov,-,nclc,nclc,10044,139916394,9504,144,66.000,CFR,29.970,178157228,PCM,Little / Signed,sowt,10044,2,L R,44100,16
,,008_LogoLoop_SCB_v01.mov,1,WRONG FRAME RATE (Should be 29.97) Wrong Raster as of 07/23 6:30PM,1,080,008,017,SCB,10.06s,,-R,,,,,080_LAL_PCC,00_LogoLoop,\080_LAL_PCC\00_LogoLoop\008_LogoLoop_SCB_v01.mov,-R,nclc,nclc,10067,225093541,1280,720,1.778,CFR,30.000,285055738,PCM,Little / Signed,sowt,10067,2,L R,44100,16
,01_Defense,010_Defense_AUDIO_v01.mov,1,,,080,010,024,AUDIO,10s,,-,,,,7/22/2020 11:28:47,080_LAL_PCC,01_Defense,\080_LAL_PCC\01_Defense\010_Defense_AUDIO_v01.mov,-,nclc,nclc,10010,1402770125,10160,1600,6.350,CFR,29.970,1757790928,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,011_Defense_AUD_F_v01.mov,1,,,080,011,001,AUD_F,28.03s,,-,,,,7/22/2020 11:28:57,080_LAL_PCC,01_Defense,\080_LAL_PCC\01_Defense\011_Defense_AUD_F_v01.mov,-,nclc,nclc,28062,463292007,9760,800,12.200,CFR,29.970,1631830440,PCM,Little / Signed,sowt,28062,2,L R,44100,16
,02_LakersWin,021_LakersWin_AUD_F_v01.mov,1,,,080,021,001,AUD_F,10s,,-,,,,7/22/2020 11:31:40,080_LAL_PCC,02_LakersWin,\080_LAL_PCC\02_LakersWin\021_LakersWin_AUD_F_v01.mov,-,nclc,nclc,10010,1190786802,10160,1600,6.350,CFR,29.970,1492546530,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,024_LakersWin_RIB_F_v01.mov,1,,,080,024,010,RIB_F,10.03s,,-,,,,7/22/2020 11:31:52,080_LAL_PCC,02_LakersWin,\080_LAL_PCC\02_LakersWin\024_LakersWin_RIB_F_v01.mov,-,nclc,nclc,10044,76807309,9504,144,66.000,CFR,29.970,98995482,PCM,Little / Signed,sowt,10044,2,L R,44100,16
,03_LetsGoLakers,030_LetsGoLakers_AUDIO_v01.mov,1,,,080,030,024,AUDIO,10s,,-,,,,7/22/2020 11:33:42,080_LAL_PCC,03_LetsGoLakers,\080_LAL_PCC\03_LetsGoLakers\030_LetsGoLakers_AUDIO_v01.mov,-,nclc,nclc,10010,1320280258,10160,1600,6.350,CFR,29.970,1654575379,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,031_LetsGoLakers_AUD_F_v01.mov,1,,,080,031,001,AUD_F,26.03s,,-,,,,7/22/2020 11:34:01,080_LAL_PCC,03_LetsGoLakers,\080_LAL_PCC\03_LetsGoLakers\031_LetsGoLakers_AUD_F_v01.mov,-,nclc,nclc,26060,486581835,9760,800,12.200,CFR,29.970,1591399216,PCM,Little / Signed,sowt,26060,2,L R,44100,16
