MEMPHIS GRIZZLIES Media Delivery,,SYNC ACTIVE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090_MEM_PCC,,,,,,,,,,,,-,,,,,090_MEM_PCC,,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
091_MEM_FARE,,,,,,,,,,,,-,,,,,091_MEM_FARE,,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
092_MEM_Image_1,,,,,,,,,,,,-,,,,,092_MEM_Image_1,,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
093_MEM_Image_2,,,,,,,,,,,,-,,,,,093_MEM_Image_2,,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
094_MEM_Video,00_MemphisVsErrrbody,001_MemphisVsErrrbody_AUD_F_v02.mov,1,,1,094,001,001,AUD_F,,,-F,,,"Generic Take Over - Does not have to take over everything, everytime . Only for main season",,094_MEM_Video,00_MemphisVsErrrbody,\094_MEM_Video\00_MemphisVsErrrbody\001_MemphisVsErrrbody_AUD_F_v02.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,004_MemphisVsErrrbody_RIB_F_v02.mov,1,,1,094,004,010,RIB_F,,,-F,,,,,094_MEM_Video,00_MemphisVsErrrbody,\094_MEM_Video\00_MemphisVsErrrbody\004_MemphisVsErrrbody_RIB_F_v02.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,007_MemphisVsErrbody_CRN_v01.mov,1,,1,094,007,014,CRN,,,-F,,,,,094_MEM_Video,00_MemphisVsErrrbody,\094_MEM_Video\00_MemphisVsErrrbody\007_MemphisVsErrbody_CRN_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,008_MemphisVsErrrbody_SCB_v02.mov,,,,094,008,017,SCB,,,-,,,,,094_MEM_Video,00_MemphisVsErrrbody,\094_MEM_Video\00_MemphisVsErrrbody\008_MemphisVsErrrbody_SCB_v02.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,01_BelieveMemphis,011_BelieveMemphis_AUD_F_v01.mov,1,,1,094,011,001,AUD_F,10s,,-,,,Used ONLY for playoffs. Dont use any other time ,,094_MEM_Video,01_BelieveMemphis,\094_MEM_Video\01_BelieveMemphis\011_BelieveMemphis_AUD_F_v01.mov,-,nclc,nclc,10010,326966772,10160,1600,6.350,CFR,29.970,411431931,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,014_BelieveMemphis_RIB_F_v01.mov,1,,1,094,014,010,RIB_F,10s,,-,,,,,094_MEM_Video,01_BelieveMemphis,\094_MEM_Video\01_BelieveMemphis\014_BelieveMemphis_RIB_F_v01.mov,-,nclc,nclc,10010,52313743,9504,144,66.000,CFR,29.970,67575198,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,018_BelieveMemphis_SCB_v01.mov,1,,1,094,018,017,SCB,20s,,-,,,,,094_MEM_Video,01_BelieveMemphis,\094_MEM_Video\01_BelieveMemphis\018_BelieveMemphis_SCB_v01.mov,-,nclc,nclc,20020,57404645,1920,1080,1.778,CFR,29.970,147471153,PCM,Little / Signed,sowt,20020,2,L R,44100,16
,02_KirkWhalumAnthem,020_KirkWhalumAnthem_AUDIO_v01.mov,,,,094,020,024,AUDIO,,,-,,,,,094_MEM_Video,02_KirkWhalumAnthem,\094_MEM_Video\02_KirkWhalumAnthem\020_KirkWhalumAnthem_AUDIO_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,028_KirkWhalumAnthem_SCB_v01.mov,,,,094,028,017,SCB,,,-,,,,,094_MEM_Video,02_KirkWhalumAnthem,\094_MEM_Video\02_KirkWhalumAnthem\028_KirkWhalumAnthem_SCB_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,03_GrizzFans_1,031_GrizzFans_1_AUD_F_v01.mov,,,,094,031,001,AUD_F,,,-,,,,,094_MEM_Video,03_GrizzFans_1,\094_MEM_Video\03_GrizzFans_1\031_GrizzFans_1_AUD_F_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,04_ShakyaAnthem,040_ShakyaAnthem_AUDIO_v01.mov,,,,094,040,024,AUDIO,,,-,,,,,094_MEM_Video,04_ShakyaAnthem,\094_MEM_Video\04_ShakyaAnthem\040_ShakyaAnthem_AUDIO_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,048_ShakyaAnthem_SCB_v01.mov,,,,094,048,017,SCB,,,-,,,,,094_MEM_Video,04_ShakyaAnthem,\094_MEM_Video\04_ShakyaAnthem\048_ShakyaAnthem_SCB_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,05_GrizzTeamOpen,050_GrizzTeamOpen_AUDIO_v01.mov,,,,094,050,024,AUDIO,,,-,,,,,094_MEM_Video,05_GrizzTeamOpen,\094_MEM_Video\05_GrizzTeamOpen\050_GrizzTeamOpen_AUDIO_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,058_GrizzTeamOpen_SCB_v01.mov,,,,094,058,017,SCB,,,-,,,,,094_MEM_Video,05_GrizzTeamOpen,\094_MEM_Video\05_GrizzTeamOpen\058_GrizzTeamOpen_SCB_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,06_MakeSomeNoise,061_MakeSomeNoise_AUD_F_v01.mov,,,,094,061,001,AUD_F,,,-,,,,,094_MEM_Video,06_MakeSomeNoise,\094_MEM_Video\06_MakeSomeNoise\061_MakeSomeNoise_AUD_F_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,064_MakeSomeNoise_RIB_F_v01.mov,,,,094,064,010,RIB_F,,,-,,,,,094_MEM_Video,06_MakeSomeNoise,\094_MEM_Video\06_MakeSomeNoise\064_MakeSomeNoise_RIB_F_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,067_MakeSomeNoise_CRN_v01.mov,,,,094,067,014,CRN,,,-,,,,,094_MEM_Video,06_MakeSomeNoise,\094_MEM_Video\06_MakeSomeNoise\067_MakeSomeNoise_CRN_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,068_MakeSomeNoise_SCB_v01.mov,,,,094,068,017,SCB,,,-,,,,,094_MEM_Video,06_MakeSomeNoise,\094_MEM_Video\06_MakeSomeNoise\068_MakeSomeNoise_SCB_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,07_MemphisMemphisMemphis,071_MemphisMemphisMemphis_AUD_F_v02.mov,,,,094,071,001,AUD_F,,,-,,,,,094_MEM_Video,07_MemphisMemphisMemphis,\094_MEM_Video\07_MemphisMemphisMemphis\071_MemphisMemphisMemphis_AUD_F_v02.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,074_MemphisMemphisMemphis_RIB_F_v01.mov,,,,094,074,010,RIB_F,,,-,,,,,094_MEM_Video,07_MemphisMemphisMemphis,\094_MEM_Video\07_MemphisMemphisMemphis\074_MemphisMemphisMemphis_RIB_F_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,078_MemphisMemphisMemphis_SCB_v01.mov,,,,094,078,017,SCB,,,-,,,,,094_MEM_Video,07_MemphisMemphisMemphis,\094_MEM_Video\07_MemphisMemphisMemphis\078_MemphisMemphisMemphis_SCB_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,08_GrizzTipOff,,,,,,,,,,,-,,,,,094_MEM_Video,08_GrizzTipOff,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,09_Highlights_3pt,,,,,,,,,,,-,,,,,094_MEM_Video,09_Highlights_3pt,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,10_GrizzFans_2,,,,,,,,,,,-,,,,,094_MEM_Video,10_GrizzFans_2,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
095_MEM_Misc,,,,,,,,,,,,-,,,,,095_MEM_Misc,10_GrizzFans_2,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
096_MEM_Intros_1,00_DeAnthony_Melton,000_DeanthonyMelton_Intro1_AUDIO_v01.mov,1,,1,096,000,024,AUDIO,,,-F,1,,,,096_MEM_Intros_1,00_DeAnthony_Melton,\096_MEM_Intros_1\00_DeAnthony_Melton\000_DeanthonyMelton_Intro1_AUDIO_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,001_DeanthonyMelton_Intro1_AUD_F_v02.mov,2,,,096,001,001,AUD_F,,,-,,,,7/23/2020 21:26:36,096_MEM_Intros_1,00_DeAnthony_Melton,\096_MEM_Intros_1\00_DeAnthony_Melton\001_DeanthonyMelton_Intro1_AUD_F_v02.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,004_DeAnthonyMelton_Intro1_RIB_F_v02.mov,2,,,096,004,010,RIB_F,,,-,,,,7/23/2020 21:26:36,096_MEM_Intros_1,00_DeAnthony_Melton,\096_MEM_Intros_1\00_DeAnthony_Melton\004_DeAnthonyMelton_Intro1_RIB_F_v02.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,008_DeanthonyMelton_Intro1_SCB_v01.mov,1,,,096,008,017,SCB,,,-,,,,,096_MEM_Intros_1,00_DeAnthony_Melton,\096_MEM_Intros_1\00_DeAnthony_Melton\008_DeanthonyMelton_Intro1_SCB_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,01_Kyle_Anderson,010_KyleAnderson_Intro1_AUDIO_v01.mov,1,,1,096,010,024,AUDIO,,,-F,2,,,,096_MEM_Intros_1,01_Kyle_Anderson,\096_MEM_Intros_1\01_Kyle_Anderson\010_KyleAnderson_Intro1_AUDIO_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,011_KyleAnderson_Intro1_AUD_F_v01.mov,1,,,096,011,001,AUD_F,,,-,,,,7/23/2020 21:26:31,096_MEM_Intros_1,01_Kyle_Anderson,\096_MEM_Intros_1\01_Kyle_Anderson\011_KyleAnderson_Intro1_AUD_F_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,014_KyleAnderson_Intro1_RIB_F_v02.mov,2,,,096,014,010,RIB_F,,,-,,,,7/23/2020 21:26:31,096_MEM_Intros_1,01_Kyle_Anderson,\096_MEM_Intros_1\01_Kyle_Anderson\014_KyleAnderson_Intro1_RIB_F_v02.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,018_KyleAnderson_Intro1_SCB_v01.mov,1,,,096,018,017,SCB,,,-,,,,7/23/2020 21:26:31,096_MEM_Intros_1,01_Kyle_Anderson,\096_MEM_Intros_1\01_Kyle_Anderson\018_KyleAnderson_Intro1_SCB_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,02_Anthony_Tolliver,024_AnthonyTolliver_Intro1_RIB_F_v02.mov,2,,1,096,024,010,RIB_F,,,-F,15,,,7/23/2020 21:26:38,096_MEM_Intros_1,02_Anthony_Tolliver,\096_MEM_Intros_1\02_Anthony_Tolliver\024_AnthonyTolliver_Intro1_RIB_F_v02.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,03_Brandon_Clarke,030_BrandonClarke_Intro1_AUDIO_v01.mov,1,,1,096,030,024,AUDIO,,,-F,8,,,,096_MEM_Intros_1,03_Brandon_Clarke,\096_MEM_Intros_1\03_Brandon_Clarke\030_BrandonClarke_Intro1_AUDIO_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,031_BrandonClarke_Intro1_AUD_F_v01.mov,1,,,096,031,001,AUD_F,,,-,,,,7/23/2020 21:26:29,096_MEM_Intros_1,03_Brandon_Clarke,\096_MEM_Intros_1\03_Brandon_Clarke\031_BrandonClarke_Intro1_AUD_F_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,034_BrandonClarke_Intro1_RIB_F_v02.mov,2,,,096,034,010,RIB_F,,,-,,,,7/23/2020 21:26:29,096_MEM_Intros_1,03_Brandon_Clarke,\096_MEM_Intros_1\03_Brandon_Clarke\034_BrandonClarke_Intro1_RIB_F_v02.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,038_BrandonClarke_Intro1_SCB_v01.mov,1,,,096,038,017,SCB,,,-,,,,7/23/2020 21:26:29,096_MEM_Intros_1,03_Brandon_Clarke,\096_MEM_Intros_1\03_Brandon_Clarke\038_BrandonClarke_Intro1_SCB_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,04_Dillon_Brooks,040_DillonBrooks_Intro1_AUDIO_v01.mov,1,,1,096,040,024,AUDIO,,,-F,14,,,,096_MEM_Intros_1,04_Dillon_Brooks,\096_MEM_Intros_1\04_Dillon_Brooks\040_DillonBrooks_Intro1_AUDIO_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,041_DillonBrooks_Intro1_AUD_F_v01.mov,1,,,096,041,001,AUD_F,,,-,,,,7/23/2020 21:26:26,096_MEM_Intros_1,04_Dillon_Brooks,\096_MEM_Intros_1\04_Dillon_Brooks\041_DillonBrooks_Intro1_AUD_F_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,044_DillonBrooks_Intro1_RIB_F_v02.mov,2,,,096,044,010,RIB_F,,,-,,,,7/23/2020 21:26:25,096_MEM_Intros_1,04_Dillon_Brooks,\096_MEM_Intros_1\04_Dillon_Brooks\044_DillonBrooks_Intro1_RIB_F_v02.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
