NBA GENERIC Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Loop Out Frame,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230_NBA_PROMPTS,00_SlamDunkA,001_PromptSlamDunkA_AUD_F_v01.mov,1,,1,230,001,001,AUD_F,6s,,-,,,,,230_NBA_PROMPTS,00_SlamDunkA,\230_NBA_PROMPTS\00_SlamDunkA\001_PromptSlamDunkA_AUD_F_v01.mov,-,nclc,nclc,"6,006","2,775,457,414",10160,1600,6.350,CFR,29.970,2083678853,-,-,-,-,-,-,-,-
,,004_PromptSlamDunkA_RIB_F_v02.mov,2,,2,230,004,010,RIB_F,6s,,-,,,,,230_NBA_PROMPTS,00_SlamDunkA,\230_NBA_PROMPTS\00_SlamDunkA\004_PromptSlamDunkA_RIB_F_v02.mov,-,nclc,nclc,"6,006","298,715,805",9504,144,66.000,CFR,29.970,224263231,-,-,-,-,-,-,-,-
,01_SlamDunkB,011_PromptSlamDunkB_AUD_F_v02.mov,2,,2,230,011,001,AUD_F,6s,,-,,,,,230_NBA_PROMPTS,01_SlamDunkB,\230_NBA_PROMPTS\01_SlamDunkB\011_PromptSlamDunkB_AUD_F_v02.mov,-,nclc,nclc,6006,596325029,10160,1600,6.350,CFR,29.970,447693579,-,-,-,-,-,-,-,-
,,014_PromptSlamDunkB_RIB_F_v02.mov,2,,2,230,014,010,RIB_F,6s,,-,,,,,230_NBA_PROMPTS,01_SlamDunkB,\230_NBA_PROMPTS\01_SlamDunkB\014_PromptSlamDunkB_RIB_F_v02.mov,-,nclc,nclc,6006,70659227,9504,144,66.000,CFR,29.970,53049136,-,-,-,-,-,-,-,-
,02_Incredible,021_PromptIncredible_AUD_F_v01.mov,1,,1,230,021,001,AUD_F,6s,,-,,,,,230_NBA_PROMPTS,02_Incredible,\230_NBA_PROMPTS\02_Incredible\021_PromptIncredible_AUD_F_v01.mov,-,nclc,nclc,"6,006","1,518,499,347",10160,1600,6.350,CFR,29.970,1140016641,-,-,-,-,-,-,-,-
,,024_PromptIncredible_RIB_F_v02.mov,2,,2,230,024,010,RIB_F,6s,,-,,,,,230_NBA_PROMPTS,02_Incredible,\230_NBA_PROMPTS\02_Incredible\024_PromptIncredible_RIB_F_v02.mov,-,nclc,nclc,"6,006","158,632,268",9504,144,66.000,CFR,29.970,119095410,-,-,-,-,-,-,-,-
,03_Unbelievable,031_PromptUnbelievable_AUD_F_v01.mov,1,,1,230,031,001,AUD_F,6s,,-,,,,,230_NBA_PROMPTS,03_Unbelievable,\230_NBA_PROMPTS\03_Unbelievable\031_PromptUnbelievable_AUD_F_v01.mov,-,nclc,nclc,"6,006","1,734,673,855",10160,1600,6.350,CFR,29.970,1302309815,-,-,-,-,-,-,-,-
,,034_PromptUnbelievable_RIB_F_v01.mov,1,,1,230,034,010,RIB_F,6s,,-,,,,,230_NBA_PROMPTS,03_Unbelievable,\230_NBA_PROMPTS\03_Unbelievable\034_PromptUnbelievable_RIB_F_v01.mov,-,nclc,nclc,"6,006","176,292,639",9504,144,66.000,CFR,29.970,132353947,-,-,-,-,-,-,-,-
,04_Wow,041_PromptWow_AUD_F_v01.mov,1,,1,230,041,001,AUD_F,6s,,-,,,,,230_NBA_PROMPTS,04_Wow,\230_NBA_PROMPTS\04_Wow\041_PromptWow_AUD_F_v01.mov,-,nclc,nclc,"6,006","1,243,856,606",10160,1600,6.350,CFR,29.970,933828397,-,-,-,-,-,-,-,-
