CONTENT TEAM Information  for NBA GENERIC Media Delivery,,SYNC COMPLETE,NO ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Loop Out Frame,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240_NBA_TTC_1A,00_UTA_NOP,004_UTA_NOP_RIB_F_v02.mov,2,,2,240,004,010,RIB_F,10s,,-,,,,,240_NBA_TTC_1A,00_UTA_NOP,\240_NBA_TTC_1A\00_UTA_NOP\004_UTA_NOP_RIB_F_v02.mov,-,nclc,nclc,10010,276539298,9504,144,66.000,CFR,29.970,346023219,-,-,-,-,-,-,-,-
,,007_TAP_TO_CHEER_CRN_v02.mov,2,,,240,007,014,CRN,10s,,-,,,,7/21/2020 13:57:06,240_NBA_TTC_1A,00_UTA_NOP,\240_NBA_TTC_1A\00_UTA_NOP\007_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,01_LAC_LAL,014_LAC_LAL_RIB_F_v01.mov,1,,,240,014,010,RIB_F,10s,,-,,,,7/21/2020 13:57:14,240_NBA_TTC_1A,01_LAC_LAL,\240_NBA_TTC_1A\01_LAC_LAL\014_LAC_LAL_RIB_F_v01.mov,-,nclc,nclc,10010,332023667,9504,144,66.000,CFR,29.970,415448105,-,-,-,-,-,-,-,-
,,017_TAP_TO_CHEER_CRN_v02.mov,2,,,240,017,014,CRN,10s,,-,,,,7/21/2020 13:57:14,240_NBA_TTC_1A,01_LAC_LAL,\240_NBA_TTC_1A\01_LAC_LAL\017_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,02_ORL_BKN,024_ORL_BKN_RIB_F_v01.mov,1,,,240,024,010,RIB_F,10s,,-,,,,7/21/2020 13:58:06,240_NBA_TTC_1A,02_ORL_BKN,\240_NBA_TTC_1A\02_ORL_BKN\024_ORL_BKN_RIB_F_v01.mov,-,nclc,nclc,10010,222817491,9504,144,66.000,CFR,29.970,278803740,-,-,-,-,-,-,-,-
,,027_TAP_TO_CHEER_CRN_v02.mov,2,,,240,027,014,CRN,10s,,-,,,,7/21/2020 13:58:08,240_NBA_TTC_1A,02_ORL_BKN,\240_NBA_TTC_1A\02_ORL_BKN\027_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,03_MEM_POR,034_MEM_POR_RIB_F_v01.mov,1,,,240,034,010,RIB_F,10s,,-,,,,7/21/2020 13:58:09,240_NBA_TTC_1A,03_MEM_POR,\240_NBA_TTC_1A\03_MEM_POR\034_MEM_POR_RIB_F_v01.mov,-,nclc,nclc,10010,284177968,9504,144,66.000,CFR,29.970,355581114,-,-,-,-,-,-,-,-
,,037_TAP_TO_CHEER_CRN_v02.mov,2,,,240,037,014,CRN,10s,,-,,,,7/21/2020 13:58:10,240_NBA_TTC_1A,03_MEM_POR,\240_NBA_TTC_1A\03_MEM_POR\037_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,04_PHX_WAS,044_PHX_WAS_RIB_F_v01.mov,1,,,240,044,010,RIB_F,10s,,-,,,,7/21/2020 13:58:12,240_NBA_TTC_1A,04_PHX_WAS,\240_NBA_TTC_1A\04_PHX_WAS\044_PHX_WAS_RIB_F_v01.mov,-,nclc,nclc,10010,322482941,9504,144,66.000,CFR,29.970,403510260,-,-,-,-,-,-,-,-
