MIAMI HEAT Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100_MIA_PCC,00_LETS_GO_HEAT_HEAT_CORE,000_LETS_GO_HEAT_HEAT_CORE_AUDIO_v01.mov,1,,1,100,000,024,AUDIO,13.67s,,-,45,,,,100_MIA_PCC,00_LETS_GO_HEAT_HEAT_CORE,\100_MIA_PCC\00_LETS_GO_HEAT_HEAT_CORE\000_LETS_GO_HEAT_HEAT_CORE_AUDIO_v01.mov,-,nclc,nclc,13681,93218,16,16,1.000,CFR,29.970,2788955,PCM,Little / Signed,sowt,13681,2,L R,48000,16
,,001_LETS_GO_HEAT_HEAT_CORE_AUD_F_v01.mov,1,,1,100,001,001,AUD_F,,,-F,45,,,,100_MIA_PCC,00_LETS_GO_HEAT_HEAT_CORE,\100_MIA_PCC\00_LETS_GO_HEAT_HEAT_CORE\001_LETS_GO_HEAT_HEAT_CORE_AUD_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,004_LETS_GO_HEAT_HEAT_CORE_RIB_F_v01.mov,1,,1,100,004,010,RIB_F,3.33s,,-,45,,,7/20/2020,100_MIA_PCC,00_LETS_GO_HEAT_HEAT_CORE,\100_MIA_PCC\00_LETS_GO_HEAT_HEAT_CORE\004_LETS_GO_HEAT_HEAT_CORE_RIB_F_v01.mov,-,nclc,nclc,3337,42712371,9504,144,66.000,CFR,29.970,18457121,PCM,Little / Signed,sowt,3337,2,L R,48000,16
,,008_LETS_GO_HEAT_HEAT_CORE_SCB_v01.mov,1,,1,100,008,017,SCB,,,-,,,,7/22/2020 13:09:32,100_MIA_PCC,00_LETS_GO_HEAT_HEAT_CORE,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,01_LETS_GO_HEAT2_HEAT_CORE,010_LETS_GO_HEAT2_HEAT_CORE_AUDIO_v01.mov,1,,1,100,010,024,AUDIO,,,-F,46,,,,100_MIA_PCC,01_LETS_GO_HEAT2_HEAT_CORE,\100_MIA_PCC\01_LETS_GO_HEAT2_HEAT_CORE\010_LETS_GO_HEAT2_HEAT_CORE_AUDIO_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,011_LETS_GO_HEAT2_HEAT_CORE_AUD_F_v01.mov,1,,1,100,011,001,AUD_F,,,-F,46,,,,100_MIA_PCC,01_LETS_GO_HEAT2_HEAT_CORE,\100_MIA_PCC\01_LETS_GO_HEAT2_HEAT_CORE\011_LETS_GO_HEAT2_HEAT_CORE_AUD_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,014_LETS_GO_HEAT2_HEAT_CORE_RIB_F_v01.mov,1,,1,100,014,010,RIB_F,,,-F,46,,,7/20/2020,100_MIA_PCC,01_LETS_GO_HEAT2_HEAT_CORE,\100_MIA_PCC\01_LETS_GO_HEAT2_HEAT_CORE\014_LETS_GO_HEAT2_HEAT_CORE_RIB_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,018_LETS_GO_HEAT_V2_HEAT_CORE_SCB_v01.mov,1,,1,100,018,017,SCB,,,-,,,,7/22/2020 13:11:03,100_MIA_PCC,01_LETS_GO_HEAT2_HEAT_CORE,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,02_DEFENSE_HEAT_CORE,020_DEFENSE_HEAT_CORE_AUDIO_v02.mov,2,,2,100,020,024,AUDIO,5.4s,,-,47,,,7/22/2020 13:13:32,100_MIA_PCC,02_DEFENSE_HEAT_CORE,\100_MIA_PCC\02_DEFENSE_HEAT_CORE\020_DEFENSE_HEAT_CORE_AUDIO_v02.mov,-,nclc,nclc,5406,50037,16,16,1.000,CFR,29.970,1073534,PCM,Little / Signed,sowt,5406,2,L R,48000,16
,,021_DEFENSE_HEAT_CORE_AUD_F_v02.mov,2,,2,100,021,001,AUD_F,5.4s,,-,47,,,7/22/2020 13:13:35,100_MIA_PCC,02_DEFENSE_HEAT_CORE,\100_MIA_PCC\02_DEFENSE_HEAT_CORE\021_DEFENSE_HEAT_CORE_AUD_F_v02.mov,-,nclc,nclc,5406,331579455,10160,1600,6.350,CFR,29.970,224042180,-,-,-,-,-,-,-,-
,,024_DEFENSE_HEAT_CORE_RIB_F_v02.mov,2,,2,100,024,010,RIB_F,5.4s,,-,47,,,7/22/2020 13:13:38,100_MIA_PCC,02_DEFENSE_HEAT_CORE,\100_MIA_PCC\02_DEFENSE_HEAT_CORE\024_DEFENSE_HEAT_CORE_RIB_F_v02.mov,-,nclc,nclc,5406,26418932,9504,144,66.000,CFR,29.970,17852222,-,-,-,-,-,-,-,-
,,028_DEFENSE_HEAT_CORE_SCB_v01.mov,1,,1,100,028,017,SCB,,,-,,,,7/22/2020 13:13:19,100_MIA_PCC,02_DEFENSE_HEAT_CORE,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,03_DOS_MINUTOS_HEAT_CORE,030_DOS_MINUTOS_AUDIO_v02.mov,2,this is not stereo -JL,2,100,030,024,AUDIO,10s,,-,41,,,7/22/2020 13:16:30,100_MIA_PCC,03_DOS_MINUTOS_HEAT_CORE,\100_MIA_PCC\03_DOS_MINUTOS_HEAT_CORE\030_DOS_MINUTOS_AUDIO_v02.mov,-,nclc,nclc,10010,63636,16,16,1.000,CFR,29.970,2004010,PCM,Little / Signed,sowt,10011,2,L R,48000,16
,,031_DOS_MINUTOS_AUD_F_v02.mov,2,,2,100,031,001,AUD_F,10s,,-,41,,,7/22/2020 13:16:33,100_MIA_PCC,03_DOS_MINUTOS_HEAT_CORE,\100_MIA_PCC\03_DOS_MINUTOS_HEAT_CORE\031_DOS_MINUTOS_AUD_F_v02.mov,-,nclc,nclc,10010,305413601,10160,1600,6.350,CFR,29.970,382152230,-,-,-,-,-,-,-,-
,,034_DOS_MINUTOS_CORE_RIB_F_v02.mov,2,,2,100,034,010,RIB_F,10s,,-,41,,,7/22/2020 13:16:35,100_MIA_PCC,03_DOS_MINUTOS_HEAT_CORE,\100_MIA_PCC\03_DOS_MINUTOS_HEAT_CORE\034_DOS_MINUTOS_CORE_RIB_F_v02.mov,-,nclc,nclc,10010,39993624,9504,144,66.000,CFR,29.970,50044224,-,-,-,-,-,-,-,-
,,,,no SCB file delivered,,,,,,,,-,,,,,100_MIA_PCC,03_DOS_MINUTOS_HEAT_CORE,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,04_LETS_GO_HEAT_VICEWAVE,040_LETS_GO_HEAT_VICEWAVE_AUDIO_v01.mov,1,,1,100,040,024,AUDIO,10s,,-,,,,,100_MIA_PCC,04_LETS_GO_HEAT_VICEWAVE,\100_MIA_PCC\04_LETS_GO_HEAT_VICEWAVE\040_LETS_GO_HEAT_VICEWAVE_AUDIO_v01.mov,-,nclc,nclc,10010,96093,16,16,1.000,CFR,29.970,2174242,PCM,Little / Signed,sowt,10010,2,L R,48000,16
