 MILWAUKEE BUCKS Media Delivery,,SYNC ACTIVE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110_MIL_PCC,00_BucksBall,001_BucksBall_AUD_F_v02.mov,2,,2,110,001,001,AUD_F,10s,?,-,,test,,,110_MIL_PCC,00_BucksBall,\110_MIL_PCC\00_BucksBall\001_BucksBall_AUD_F_v02.mov,-,nclc,nclc,10010,812945837,10160,1600,6.350,CFR,29.970,1017202572,-,-,-,-,-,-,-,-
,,004_BucksBall_RIB_F_v03.mov,3,,2,110,004,010,RIB_F,10s,,-,,,,7/22/2020 22:01:11,110_MIL_PCC,00_BucksBall,\110_MIL_PCC\00_BucksBall\004_BucksBall_RIB_F_v03.mov,-,nclc,nclc,10010,140594902,9504,144,66.000,CFR,29.970,175922631,-,-,-,-,-,-,-,-
,,008_BucksBall_SCB_v01.mov,1,,1,110,008,017,SCB,20s,,-,,,,,110_MIL_PCC,00_BucksBall,\110_MIL_PCC\00_BucksBall\008_BucksBall_SCB_v01.mov,-,nclc,nclc,20020,180377582,1920,1080,1.778,CFR,29.970,451400882,-,-,-,-,-,-,-,-
,01_Noise,011_Noise_AUD_F_v01.mov,1,,1,110,011,001,AUD_F,10s,,-,,,,,110_MIL_PCC,01_Noise,\110_MIL_PCC\01_Noise\011_Noise_AUD_F_v01.mov,-,nclc,nclc,10010,794628222,10160,1600,6.350,CFR,29.970,994282633,-,-,-,-,-,-,-,-
,,014_Noise_RIB_F_v02.mov,2,,2,110,014,010,RIB_F,10s,,-,,,,,110_MIL_PCC,01_Noise,\110_MIL_PCC\01_Noise\014_Noise_RIB_F_v02.mov,-,nclc,nclc,10010,93432077,9504,144,66.000,CFR,29.970,116909683,-,-,-,-,-,-,-,-
,,018_Noise_SCB_v01.mov,1,,1,110,018,017,SCB,20s,,-,,,,,110_MIL_PCC,01_Noise,\110_MIL_PCC\01_Noise\018_Noise_SCB_v01.mov,-,nclc,nclc,20020,75775597,1920,1080,1.778,CFR,29.970,189633421,-,-,-,-,-,-,-,-
,02_Defense1,021_Defense1_AUD_F_v01.mov,1,,1,110,021,001,AUD_F,10s,,-,,,,,110_MIL_PCC,02_Defense1,\110_MIL_PCC\02_Defense1\021_Defense1_AUD_F_v01.mov,-,nclc,nclc,10010,1844734993,10160,1600,6.350,CFR,29.970,2308230044,-,-,-,-,-,-,-,-
,,024_Defense1_RIB_F_v03.mov,3,,2,110,024,010,RIB_F,10s,,-,,,,7/22/2020 22:01:19,110_MIL_PCC,02_Defense1,\110_MIL_PCC\02_Defense1\024_Defense1_RIB_F_v03.mov,-,nclc,nclc,10010,152599612,9504,144,66.000,CFR,29.970,190943532,-,-,-,-,-,-,-,-
,,028_Defense1_SCB_v01.mov,1,,1,110,028,017,SCB,20s,,-,,,,,110_MIL_PCC,02_Defense1,\110_MIL_PCC\02_Defense1\028_Defense1_SCB_v01.mov,-,nclc,nclc,20020,312524206,1920,1080,1.778,CFR,29.970,782098083,-,-,-,-,-,-,-,-
,03_Defense2,031_Defense2_AUD_F_v01.mov,1,,1,110,031,001,AUD_F,10s,,-,,,,,110_MIL_PCC,03_Defense2,\110_MIL_PCC\03_Defense2\031_Defense2_AUD_F_v01.mov,-,nclc,nclc,10010,991047047,10160,1600,6.350,CFR,29.970,1240389599,-,-,-,-,-,-,-,-
,,034_Defense2_RIB_F_v03.mov,3,,2,110,034,010,RIB_F,10s,,-,,,,7/22/2020 22:17:11,110_MIL_PCC,03_Defense2,\110_MIL_PCC\03_Defense2\034_Defense2_RIB_F_v03.mov,-,nclc,nclc,10010,89322373,9504,144,66.000,CFR,29.970,112150149,-,-,-,-,-,-,-,-
,,038_Defense2_SCB_v01.mov,1,,1,110,038,017,SCB,20s,,-,,,,,110_MIL_PCC,03_Defense2,\110_MIL_PCC\03_Defense2\038_Defense2_SCB_v01.mov,-,nclc,nclc,20020,110019969,1920,1080,1.778,CFR,29.970,275656447,-,-,-,-,-,-,-,-
,04_DEFENSE3,,,not delivered - kh,,,,,,,,-,,,,,110_MIL_PCC,04_DEFENSE3,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,05_GetLoud,051_GetLoud_AUD_F_v01.mov,1,,1,110,051,001,AUD_F,10s,,-,,,,,110_MIL_PCC,05_GetLoud,\110_MIL_PCC\05_GetLoud\051_GetLoud_AUD_F_v01.mov,-,nclc,nclc,10010,118618176,10160,1600,6.350,CFR,29.970,148425397,-,-,-,-,-,-,-,-
,,054_GetLoud_RIB_F_v02.mov,2,,2,110,054,010,RIB_F,10s,,-,,,,,110_MIL_PCC,05_GetLoud,\110_MIL_PCC\05_GetLoud\054_GetLoud_RIB_F_v02.mov,-,nclc,nclc,10010,13327359,9504,144,66.000,CFR,29.970,16677951,-,-,-,-,-,-,-,-
,,058_GetLoud_SCB_v01.mov,1,,1,110,058,017,SCB,20s,,-,,,,,110_MIL_PCC,05_GetLoud,\110_MIL_PCC\05_GetLoud\058_GetLoud_SCB_v01.mov,-,nclc,nclc,20020,18133399,1920,1080,1.778,CFR,29.970,45382192,-,-,-,-,-,-,-,-
