NEW ORLEANS PELICANS Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120_NOP_PCC,01_Defense,014_Defense_RIB_F_v02.mov,2,,1,120,014,010,RIB_F,2.67s,,-,46,,,7/19/2020 7:39:25,120_NOP_PCC,01_Defense,\120_NOP_PCC\01_Defense\014_Defense_RIB_F_v02.mov,-,nclc,nclc,2670,302794681,9504,144,66.000,CFR,29.970,102036927,PCM,Little / Signed,sowt,2670,2,L R,44100,16
,02_LetsGoPels,024_LetsGoPels_RIB_F_v02.mov,2,,1,120,024,010,RIB_F,2.67s,,-,45,,,7/19/2020 7:39:29,120_NOP_PCC,02_LetsGoPels,\120_NOP_PCC\02_LetsGoPels\024_LetsGoPels_RIB_F_v02.mov,-,nclc,nclc,2670,204502917,9504,144,66.000,CFR,29.970,69240155,PCM,Little / Signed,sowt,2670,2,L R,44100,16
,03_Defense,034_Defense_RIB_F_v02.mov,2,,1,120,034,010,RIB_F,2.33s,,-,47,,,7/19/2020 7:39:29,120_NOP_PCC,03_Defense,\120_NOP_PCC\03_Defense\034_Defense_RIB_F_v02.mov,-,nclc,nclc,2336,389488760,9504,144,66.000,CFR,29.970,114659677,PCM,Little / Signed,sowt,2336,2,L R,44100,16
,04_Defense,044_Defense_RIB_F_v02.mov,2,,1,120,044,010,RIB_F,2.67s,,-,48,,,7/19/2020 7:39:29,120_NOP_PCC,04_Defense,\120_NOP_PCC\04_Defense\044_Defense_RIB_F_v02.mov,-,nclc,nclc,2670,223291932,9504,144,66.000,CFR,29.970,75502103,PCM,Little / Signed,sowt,2670,2,L R,44100,16
,05_And1,051_And1_AUD_F_v01.mov,1,,1,120,051,001,AUD_F,8.03s,,-,51,,,,120_NOP_PCC,05_And1,\120_NOP_PCC\05_And1\051_And1_AUD_F_v01.mov,-,nclc,nclc,8042,3785039911,10160,1600,6.350,CFR,29.970,3806065822,PCM,Little / Signed,sowt,8042,2,L R,44100,16
,,054_And1_RIB_F_v02.mov,2,,1,120,054,010,RIB_F,8s,,-,51,,,,120_NOP_PCC,05_And1,\120_NOP_PCC\05_And1\054_And1_RIB_F_v02.mov,-,nclc,nclc,8008,317889970,9504,144,66.000,CFR,29.970,319683320,PCM,Little / Signed,sowt,8008,2,L R,44100,16
,,058_And1_SCB_v01.mov,1,,1,120,058,017,SCB,20s,,-,51,,,,120_NOP_PCC,05_And1,\120_NOP_PCC\05_And1\058_And1_SCB_v01.mov,-,nclc,nclc,20020,485150842,1920,1080,1.778,CFR,29.970,1217669170,PCM,Little / Signed,sowt,20020,2,L R,44100,16
,06_PelsBall,061_PelsBall_AUD_F_v02.mov,2,,2,120,061,001,AUD_F,8.03s,,-,21,,,,120_NOP_PCC,06_PelsBall,\120_NOP_PCC\06_PelsBall\061_PelsBall_AUD_F_v02.mov,-,nclc,nclc,8042,3839140644,10160,1600,6.350,CFR,29.970,3860446355,PCM,Little / Signed,sowt,8042,2,L R,44100,16
,,064_PelsBall_RIB_F_v03.mov,3,,2,120,064,010,RIB_F,8s,,-,21,,,7/19/2020 7:39:29,120_NOP_PCC,06_PelsBall,\120_NOP_PCC\06_PelsBall\064_PelsBall_RIB_F_v03.mov,-,nclc,nclc,8008,371965323,9504,144,66.000,CFR,29.970,373794651,PCM,Little / Signed,sowt,8008,2,L R,44100,16
