ORLANDO MAGIC Media Delivery,,OUT OF SYNC,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,v,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140_ORL_PCC,00_DEFENSE1,000_DEFENSE1_AUDIO_v01.mov,1,"THIS TEAM HAS ISSUES ON s3 CANNOT SYNC, emailed Danny (CM)",1,140,000,024,AUDIO,34.67s,,-,47,,,,140_ORL_PCC,00_DEFENSE1,\140_ORL_PCC\00_DEFENSE1\000_DEFENSE1_AUDIO_v01.mov,-,nclc,nclc,34702,86432,16,16,1.000,CFR,29.970,7138763,PCM,Little / Signed,sowt,34702,2,L R,48000,16
,,004_Defense1_RIB_F_v02.mov,2,,1,140,004,010,RIB_F,3s,,-,47,,,,140_ORL_PCC,00_DEFENSE1,\140_ORL_PCC\00_DEFENSE1\004_Defense1_RIB_F_v02.mov,-,nclc,nclc,3003,248268736,9504,144,66.000,CFR,29.970,93301456,-,-,-,-,-,-,-,-
,01_DEFENSE2,010_DEFENSE2_AUDIO_v01.mov,1,,1,140,010,024,AUDIO,34.67s,,-,48,,,,140_ORL_PCC,01_DEFENSE2,\140_ORL_PCC\01_DEFENSE2\010_DEFENSE2_AUDIO_v01.mov,-,nclc,nclc,34702,80028,16,16,1.000,CFR,29.970,7110888,PCM,Little / Signed,sowt,34702,2,L R,48000,16
,,014_Defense2_RIB_F_v02.mov,2,,1,140,014,010,RIB_F,10s,,-,48,,,,140_ORL_PCC,01_DEFENSE2,\140_ORL_PCC\01_DEFENSE2\014_Defense2_RIB_F_v02.mov,-,nclc,nclc,10010,144586828,9504,144,66.000,CFR,29.970,181035448,-,-,-,-,-,-,-,-
,02_DEFENSE3,024_Defense3_RIB_F_v01.mov,1,,1,140,024,010,RIB_F,,,-F,35,,No audio ,,140_ORL_PCC,02_DEFENSE3,\140_ORL_PCC\02_DEFENSE3\024_Defense3_RIB_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,03_DEFENSE4,030_DEFENSE4_AUDIO_v01.mov,1,,1,140,030,024,AUDIO,35.47s,,-,36,,,,140_ORL_PCC,03_DEFENSE4,\140_ORL_PCC\03_DEFENSE4\030_DEFENSE4_AUDIO_v01.mov,-,nclc,nclc,35503,86709,16,16,1.000,CFR,29.970,7338235,PCM,Little / Signed,sowt,35503,2,L R,48000,16
,,034_DEFENSE4_RIB_F_v02.mov,2,,1,140,034,010,RIB_F,5.33s,,-,36,,,,140_ORL_PCC,03_DEFENSE4,\140_ORL_PCC\03_DEFENSE4\034_DEFENSE4_RIB_F_v02.mov,-,nclc,nclc,5339,209992871,9504,144,66.000,CFR,29.970,140212905,-,-,-,-,-,-,-,-
,07_HWGMagic,070_HWGMagic_AUDIO_v03.mov,3,,3,140,070,024,AUDIO,25.97s,,-,37,,,,140_ORL_PCC,07_HWGMagic,\140_ORL_PCC\07_HWGMagic\070_HWGMagic_AUDIO_v03.mov,-,nclc,nclc,25993,79896,16,16,1.000,CFR,29.970,5334249,PCM,Little / Signed,sowt,25993,2,L R,48000,16
,,074_HWGMagic_RIB_F_v02.mov,2,,2,140,074,010,RIB_F,25.97s,,-,37,,,,140_ORL_PCC,07_HWGMagic,\140_ORL_PCC\07_HWGMagic\074_HWGMagic_RIB_F_v02.mov,-,nclc,nclc,25993,53258732,9504,144,66.000,CFR,29.970,173083905,-,-,-,-,-,-,-,-
