PHILADELPHIA 76ERS Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150_PHI_PCC,00_MakeNoise,001_MakeNoise_AUD_F_v01.mov,1,,1,150,001,001,AUD_F,30s,,-,37,,,,150_PHI_PCC,00_MakeNoise,\150_PHI_PCC\00_MakeNoise\001_MakeNoise_AUD_F_v01.mov,-,nclc,nclc,30030,280190409,10160,1600,6.350,CFR,29.970,1051773677,-,-,-,-,-,-,-,-
,,004_MakeNoise_RIB_F_v01.mov,1,,1,150,004,010,RIB_F,,,-F,37,,,,150_PHI_PCC,00_MakeNoise,\150_PHI_PCC\00_MakeNoise\004_MakeNoise_RIB_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,008_MakeNoise_SCB_v01.mov,1,,1,150,008,017,SCB,30.57s,,-,37,,,,150_PHI_PCC,00_MakeNoise,\150_PHI_PCC\00_MakeNoise\008_MakeNoise_SCB_v01.mov,-,nclc,nclc,30598,142376707,1920,1080,1.778,CFR,29.970,544550222,-,-,-,-,-,-,-,-
,01_MakeNoise-Still,011_MakeNoise_Still_AUD_F_v01.mov,1,,1,150,011,001,AUD_F,,,-F,,,,,150_PHI_PCC,01_MakeNoise-Still,\150_PHI_PCC\01_MakeNoise-Still\011_MakeNoise_Still_AUD_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,014_MakeNoise_Still_RIB_F_v01.mov,1,,1,150,014,010,RIB_F,,,-F,,,,,150_PHI_PCC,01_MakeNoise-Still,\150_PHI_PCC\01_MakeNoise-Still\014_MakeNoise_Still_RIB_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,018_MakeNoise_Still_SCB_v01.mov,1,,1,150,018,017,SCB,,,-F,,,,,150_PHI_PCC,01_MakeNoise-Still,\150_PHI_PCC\01_MakeNoise-Still\018_MakeNoise_Still_SCB_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,02_LetsGo,020_LetsGo_AUDIO_v01.mov,1,,1,150,020,024,AUDIO,53s,,-,45,,Looping? For one poss,,150_PHI_PCC,02_LetsGo,\150_PHI_PCC\02_LetsGo\020_LetsGo_AUDIO_v01.mov,-,nclc,nclc,53053,89550,16,16,1.000,CFR,29.970,10788027,PCM,Little / Signed,sowt,53054,2,L R,48000,16
,,021_LetsGo_AUD_F_v01.mov,1,,1,150,021,001,AUD_F,30.53s,,-,45,,,,150_PHI_PCC,02_LetsGo,\150_PHI_PCC\02_LetsGo\021_LetsGo_AUD_F_v01.mov,-,nclc,nclc,30564,288472290,10160,1600,6.350,CFR,29.970,1107981548,PCM,Little / Signed,sowt,30564,2,L R,48000,16
,,024_LetsGo_RIB_F_v01.mov,1,,1,150,024,010,RIB_F,,,-F,45,,,,150_PHI_PCC,02_LetsGo,\150_PHI_PCC\02_LetsGo\024_LetsGo_RIB_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
