PHOENIX SUNS Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Content Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160_PHX_PCC,01_LetsGoSuns,011_LetsGoSuns_AUD_F_v01.mov,1,,1,160,011,001,AUD_F,10s,,-,,,"Offense, dead ball defense, in game ",,160_PHX_PCC,01_LetsGoSuns,\160_PHX_PCC\01_LetsGoSuns\011_LetsGoSuns_AUD_F_v01.mov,-,nclc,nclc,10010,1596426797,10160,1600,6.350,CFR,29.970,1999933117,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,014_LetsGoSunsRIB_F_v02.mov,2,,2,160,014,010,RIB_F,10s,,-,,,,7/22/2020 22:47:37,160_PHX_PCC,01_LetsGoSuns,\160_PHX_PCC\01_LetsGoSuns\014_LetsGoSunsRIB_F_v02.mov,-,nclc,nclc,10010,221331864,9504,144,66.000,CFR,29.970,279234316,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,02_Defense,021_Defense_AUD_F_v01.mov,1,,1,160,021,001,AUD_F,10s,,-,,,Defense possiontion ,,160_PHX_PCC,02_Defense,\160_PHX_PCC\02_Defense\021_Defense_AUD_F_v01.mov,-,nclc,nclc,10010,1505129317,10160,1600,6.350,CFR,29.970,1885530185,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,024_Defense_RIB_F_v02.mov,2,,2,160,024,010,RIB_F,10s,,-,,,,7/22/2020 22:48:47,160_PHX_PCC,02_Defense,\160_PHX_PCC\02_Defense\024_Defense_RIB_F_v02.mov,-,nclc,nclc,10010,285403659,9504,144,66.000,CFR,29.970,359349809,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,03_BigPlay,031_BigPlay_AUD_F_v01.mov,1,,1,160,031,001,AUD_F,10s,,-,,,Bumpers - ,,160_PHX_PCC,03_BigPlay,\160_PHX_PCC\03_BigPlay\031_BigPlay_AUD_F_v01.mov,-,nclc,nclc,10010,2465550346,10160,1600,6.350,CFR,29.970,3087326988,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,034_BigPlay_RIB_F_v02.mov,2,,2,160,034,010,RIB_F,10s,,-,,,,7/22/2020 22:48:48,160_PHX_PCC,03_BigPlay,\160_PHX_PCC\03_BigPlay\034_BigPlay_RIB_F_v02.mov,-,nclc,nclc,10010,345218631,9504,144,66.000,CFR,29.970,434258566,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,04_BiggerPlay,041_BiggerPlay_AUD_F_v01.mov,1,,1,160,041,001,AUD_F,10s,,-,,,Bumper - hot timeout ,,160_PHX_PCC,04_BiggerPlay,\160_PHX_PCC\04_BiggerPlay\041_BiggerPlay_AUD_F_v01.mov,-,nclc,nclc,10010,2533290740,10160,1600,6.350,CFR,29.970,3172016260,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,044_BiggerPlay_RIB_F_v02.mov,2,,2,160,044,010,RIB_F,10s,,-,,,,7/22/2020 22:48:52,160_PHX_PCC,04_BiggerPlay,\160_PHX_PCC\04_BiggerPlay\044_BiggerPlay_RIB_F_v02.mov,-,nclc,nclc,10010,313411056,9504,144,66.000,CFR,29.970,394391908,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,05_Energy,051_Energy_AUD_F_v01.mov,1,,1,160,051,001,AUD_F,10s,,-,,,Out of a time out or back into play ,,160_PHX_PCC,05_Energy,\160_PHX_PCC\05_Energy\051_Energy_AUD_F_v01.mov,-,nclc,nclc,10010,2697806610,10160,1600,6.350,CFR,29.970,3378045913,PCM,Little / Signed,sowt,10010,2,L R,48000,16
