PORTLAND TRAILBLAZERS Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170_POR_PCC,01_DameTime,010_DameTime_AUDIO_v01.mov,1,,1,170,010,024,AUDIO,2.97s,,-,19,,"Audio wants to be one shot, video loops no longer than 10 sec",,170_POR_PCC,01_DameTime,\170_POR_PCC\01_DameTime\010_DameTime_AUDIO_v01.mov,-,nclc,nclc,2970,70729,16,16,1.000,CFR,29.970,631605,PCM,Little / Signed,sowt,2970,2,L R,48000,16
,,011_DameTime_AUD_F_v02.mov,2,,2,170,011,001,AUD_F,,,-F,19,,,,170_POR_PCC,01_DameTime,\170_POR_PCC\01_DameTime\011_DameTime_AUD_F_v02.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,014_DameTime_RIB_F_v02.mov,2,,2,170,014,010,RIB_F,,,-F,19,,,,170_POR_PCC,01_DameTime,\170_POR_PCC\01_DameTime\014_DameTime_RIB_F_v02.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,02_Defense,020_Defense_AUDIO_v01.mov,1,is this missing Aud? -JL,1,170,020,024,AUDIO,10s,,-,,,,,170_POR_PCC,02_Defense,\170_POR_PCC\02_Defense\020_Defense_AUDIO_v01.mov,-,nclc,nclc,10010,83329,16,16,1.000,CFR,29.970,2725196,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,024_Defense_RIB_F_v01.mov,1,,1,170,024,010,RIB_F,10s,,-,,,,,170_POR_PCC,02_Defense,\170_POR_PCC\02_Defense\024_Defense_RIB_F_v01.mov,-,nclc,nclc,10010,338224007,9504,144,66.000,CFR,29.970,425659104,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,03_DameDolla,030_DameDolla_AUDIO_v01.mov,1,,1,170,030,024,AUDIO,4.2s,,-,20,,need another look for a second audio file ,,170_POR_PCC,03_DameDolla,\170_POR_PCC\03_DameDolla\030_DameDolla_AUDIO_v01.mov,-,nclc,nclc,4205,70729,16,16,1.000,CFR,29.970,881002,PCM,Little / Signed,sowt,4205,2,L R,48000,16
,,031_DameDolla_AUD_F_v01.mov,1,,1,170,031,001,AUD_F,10s,,-,20,,,,170_POR_PCC,03_DameDolla,\170_POR_PCC\03_DameDolla\031_DameDolla_AUD_F_v01.mov,-,nclc,nclc,10010,3437840542,10160,1600,6.350,CFR,29.970,4302223580,-,-,-,-,-,-,-,-
,,034_DameDolla_RIB_F_v01.mov,1,,1,170,034,010,RIB_F,,,-F,20,,,,170_POR_PCC,03_DameDolla,\170_POR_PCC\03_DameDolla\034_DameDolla_RIB_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,04_BosnianBeast,040_BosnianBeast_AUDIO_V01.mov,1,,1,170,040,024,AUDIO,5.1s,,-,25,,,,170_POR_PCC,04_BosnianBeast,\170_POR_PCC\04_BosnianBeast\040_BosnianBeast_AUDIO_V01.mov,-,nclc,nclc,5106,70729,16,16,1.000,CFR,29.970,1063167,PCM,Little / Signed,sowt,5106,2,L R,48000,16
,,041_BosnianBeast_AUD_F_v01.mov,1,,1,170,041,001,AUD_F,10s,,-,25,,,,170_POR_PCC,04_BosnianBeast,\170_POR_PCC\04_BosnianBeast\041_BosnianBeast_AUD_F_v01.mov,-,nclc,nclc,10010,3417170317,10160,1600,6.350,CFR,29.970,4276332427,-,-,-,-,-,-,-,-
,,044_BosnianBeast_RIB_F_v01.mov,1,,1,170,044,010,RIB_F,10s,,-,25,,,,170_POR_PCC,04_BosnianBeast,\170_POR_PCC\04_BosnianBeast\044_BosnianBeast_RIB_F_v01.mov,-,nclc,nclc,10010,292751210,9504,144,66.000,CFR,29.970,366889500,-,-,-,-,-,-,-,-
