SACREMENTO KINGS Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180_SAC_PCC,00_Sacramento,004_Sacramento_RIB_F_v02.mov,2,,,180,004,010,RIB_F,10s,,-,,,,7/21/2020 10:23:33,180_SAC_PCC,00_Sacramento,\180_SAC_PCC\00_Sacramento\004_Sacramento_RIB_F_v02.mov,-,nclc,nclc,10010,225997981,9504,144,66.000,CFR,29.970,282783333,-,-,-,-,-,-,-,-
,,008_Sacramento_SCB_v01.mov,1,,1,180,008,017,SCB,10s,,-,,,,,180_SAC_PCC,00_Sacramento,\180_SAC_PCC\00_Sacramento\008_Sacramento_SCB_v01.mov,-,nclc,nclc,10010,467577879,1920,1080,1.778,CFR,29.970,585086578,-,-,-,-,-,-,-,-
,01_LetsGoKings,014_LetsGoKings_RIB_F_v02.mov,2,Missing on 401 - MH 7/22,,180,014,010,RIB_F,10s,,-,45,,,7/21/2020 10:23:33,180_SAC_PCC,01_LetsGoKings,\180_SAC_PCC\01_LetsGoKings\014_LetsGoKings_RIB_F_v02.mov,-,nclc,nclc,10010,226162998,9504,144,66.000,CFR,29.970,282989810,-,-,-,-,-,-,-,-
,,018_LetsGoKings_SCB_v01.mov,1,,1,180,018,017,SCB,10s,,-,45,,,,180_SAC_PCC,01_LetsGoKings,\180_SAC_PCC\01_LetsGoKings\018_LetsGoKings_SCB_v01.mov,-,nclc,nclc,10010,404953404,1920,1080,1.778,CFR,29.970,506727613,-,-,-,-,-,-,-,-
,02_Defense,024_Defense_RIB_F_v02.mov,2,,,180,024,010,RIB_F,10s,,-,47,,,7/21/2020 10:23:32,180_SAC_PCC,02_Defense,\180_SAC_PCC\02_Defense\024_Defense_RIB_F_v02.mov,-,nclc,nclc,10010,226519138,9504,144,66.000,CFR,29.970,283435431,-,-,-,-,-,-,-,-
,,028_Defense_SCB_v01.mov,1,,1,180,028,017,SCB,10s,,-,47,,,,180_SAC_PCC,02_Defense,\180_SAC_PCC\02_Defense\028_Defense_SCB_v01.mov,-,nclc,nclc,10010,462655539,1920,1080,1.778,CFR,29.970,578927494,-,-,-,-,-,-,-,-
,03_MoreCowbell,034_MoreCowbell_RIB_F_v02.mov,2,,,180,034,010,RIB_F,0.03s,,-,19,,4th Quarter Element - MC element ,7/21/2020 10:23:32,180_SAC_PCC,03_MoreCowbell,\180_SAC_PCC\03_MoreCowbell\034_MoreCowbell_RIB_F_v02.mov,-,nclc,nclc,34,214074511,9504,144,66.000,CFR,29.970,893550,-,-,-,-,-,-,-,-
,,038_MoreCowbell_SCB_v01.mov,1,,1,180,038,017,SCB,0.03s,,-,19,,,,180_SAC_PCC,03_MoreCowbell,\180_SAC_PCC\03_MoreCowbell\038_MoreCowbell_SCB_v01.mov,-,nclc,nclc,34,359531389,1920,1080,1.778,CFR,29.970,1515577,-,-,-,-,-,-,-,-
,04_TowerBridgeNoiseMeter,048_TowerBridgeNoiseMeter_SCB_v01.mov,1,,1,180,048,017,SCB,49.97s,,-,37,,3rd Quarter break ,,180_SAC_PCC,04_TowerBridgeNoiseMeter,\180_SAC_PCC\04_TowerBridgeNoiseMeter\048_TowerBridgeNoiseMeter_SCB_v01.mov,-,nclc,nclc,50017,228249795,1920,1080,1.778,CFR,29.970,1436732998,PCM,Little / Signed,sowt,50017,2,L R,48000,16
