SAN ANTONIO SPURS Media Delivery,,SYNC ACTIVE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190_SAS_PCC,00_SpursBall,000_SpursBall_Audio_v01.mov,1,,1,190,000,,,10s,,-,,,,,190_SAS_PCC,00_SpursBall,\190_SAS_PCC\00_SpursBall\000_SpursBall_Audio_v01.mov,-,nclc,nclc,10010,93267,16,16,1.000,CFR,29.970,2170774,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,001_SpursBall_AUD_F_v02.mov,2,,2,190,001,001,AUD_F,10s,,-,19,,,,190_SAS_PCC,00_SpursBall,\190_SAS_PCC\00_SpursBall\001_SpursBall_AUD_F_v02.mov,-,nclc,nclc,10010,2985704184,10160,1600,6.350,CFR,29.970,3738157780,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,004_SpursBall_RIB_F_v02.mov,1,,1,190,004,010,RIB_F,10s,,-,19,,,,190_SAS_PCC,00_SpursBall,\190_SAS_PCC\00_SpursBall\004_SpursBall_RIB_F_v02.mov,-,nclc,nclc,10010,240043892,9504,144,66.000,CFR,29.970,300799886,-,-,-,-,-,-,-,-
,,008_SpursBall_SCB_v01.mov,1,,1,190,008,017,SCB,20s,,-,19,,,,190_SAS_PCC,00_SpursBall,\190_SAS_PCC\00_SpursBall\008_SpursBall_SCB_v01.mov,-,nclc,nclc,20020,453850431,1920,1080,1.778,CFR,29.970,1139747868,PCM,Little / Signed,sowt,20020,2,L R,48000,16
,01_TimeOutSAC,011_TimeOutSAC_AUD_F_v01.mov,1,,,190,011,001,AUD_F,10s,,-,20,,,7/18/2020 18:38:38,190_SAS_PCC,01_TimeOutSAC,\190_SAS_PCC\01_TimeOutSAC\011_TimeOutSAC_AUD_F_v01.mov,-,nclc,nclc,10010,1127529618,10160,1600,6.350,CFR,29.970,1411127067,-,-,-,-,-,-,-,-
,,014_TimeOutSAC_RIB_F_v01.mov,1,,,190,014,010,RIB_F,10s,,-,20,,,7/18/2020 18:38:39,190_SAS_PCC,01_TimeOutSAC,\190_SAS_PCC\01_TimeOutSAC\014_TimeOutSAC_RIB_F_v01.mov,-,nclc,nclc,10010,177948720,9504,144,66.000,CFR,29.970,223019049,-,-,-,-,-,-,-,-
,,018_TimeOutSAC_SCB_v01.mov,1,,,190,018,017,SCB,10s,,-,20,,,7/18/2020 18:38:41,190_SAS_PCC,01_TimeOutSAC,\190_SAS_PCC\01_TimeOutSAC\018_TimeOutSAC_SCB_v01.mov,-,nclc,nclc,10010,163888970,1920,1080,1.778,CFR,29.970,205294849,-,-,-,-,-,-,-,-
,02_TimeOutDEN,021_TimeOutDEN_AUD_F_v01.mov,1,,,190,021,001,AUD_F,10s,,-,,,,7/18/2020 18:38:42,190_SAS_PCC,02_TimeOutDEN,\190_SAS_PCC\02_TimeOutDEN\021_TimeOutDEN_AUD_F_v01.mov,-,nclc,nclc,10010,1127529618,10160,1600,6.350,CFR,29.970,1411127067,-,-,-,-,-,-,-,-
,,024_TimeOutDEN_RIB_F_v01.mov,1,,,190,024,010,RIB_F,10s,,-,,,,7/18/2020 18:38:11,190_SAS_PCC,02_TimeOutDEN,\190_SAS_PCC\02_TimeOutDEN\024_TimeOutDEN_RIB_F_v01.mov,-,nclc,nclc,10010,176716589,9504,144,66.000,CFR,29.970,221477299,-,-,-,-,-,-,-,-
