TORONTO RAPTORS Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button ,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200_TOR_PCC,00_MakeSomeNoise,004_MakeSomeNoise_RIB_F_v01.mov,1,,1,200,004,010,RIB_F,14.97s,,-,37,,,,200_TOR_PCC,00_MakeSomeNoise,\200_TOR_PCC\00_MakeSomeNoise\004_MakeSomeNoise_RIB_F_v01.mov,-,nclc,nclc,14982,239822884,9504,144,66.000,CFR,29.970,449245534,-,-,-,-,-,-,-,-
,,008_MakeSomeNoise_SCB_v01.mov,1,,1,200,008,017,SCB,15s,,-,37,,,,200_TOR_PCC,00_MakeSomeNoise,\200_TOR_PCC\00_MakeSomeNoise\008_MakeSomeNoise_SCB_v01.mov,-,nclc,nclc,15015,446782023,1920,1080,1.778,CFR,29.970,838587090,-,-,-,-,-,-,-,-
,01_LETSGORAPTORS,013_LETSGORAPTORS_AUD_C_v01.MOV,1,,,200,013,004,AUD_C,14.99s,,-R,45,,"Generic, Can be used anytime. Up for Tip Off",,200_TOR_PCC,01_LETSGORAPTORS,\200_TOR_PCC\01_LETSGORAPTORS\013_LETSGORAPTORS_AUD_C_v01.MOV,-R,nclc,nclc,15000,337066994,9760,800,12.200,CFR,30.000,634689816,PCM,Little / Signed,sowt,15000,2,L R,44100,16
,,014_LETSGORAPTORS_RIB_F_v01.mov,1,,1,200,014,010,RIB_F,15s,,-,45,,,,200_TOR_PCC,01_LETSGORAPTORS,\200_TOR_PCC\01_LETSGORAPTORS\014_LETSGORAPTORS_RIB_F_v01.mov,-,nclc,nclc,15015,98964883,9504,144,66.000,CFR,29.970,185777111,-,-,-,-,-,-,-,-
,,018_LETSGORAPTORS_SCB_v01.mov,1,,1,200,018,017,SCB,15s,,-,,,,7/22/2020 23:30:23,200_TOR_PCC,01_LETSGORAPTORS,\200_TOR_PCC\01_LETSGORAPTORS\018_LETSGORAPTORS_SCB_v01.mov,-,nclc,nclc,15015,88914980,1920,1080,1.778,CFR,29.970,166914676,-,-,-,-,-,-,-,-
,02_WETHENORTH,024_WETHENORTH_RIB_F_v01.mov,1,,1,200,024,010,RIB_F,15s,,-,32,,"Generic, Can be used anytime ",,200_TOR_PCC,02_WETHENORTH,\200_TOR_PCC\02_WETHENORTH\024_WETHENORTH_RIB_F_v01.mov,-,nclc,nclc,15015,52558393,9504,144,66.000,CFR,29.970,98677843,-,-,-,-,-,-,-,-
,,028_WETHENORTH_SCB_v01.mov,1,,1,200,028,017,SCB,15s,,-,32,,,,200_TOR_PCC,02_WETHENORTH,\200_TOR_PCC\02_WETHENORTH\028_WETHENORTH_SCB_v01.mov,-,nclc,nclc,15015,419346014,1920,1080,1.778,CFR,29.970,787093032,-,-,-,-,-,-,-,-
,03_3POINTS,034_3POINTS_RIB_F_v01.mov,1,,1,200,034,010,RIB_F,15s,,-,43,,"When they hit a 3, almost every 3 pointer",,200_TOR_PCC,03_3POINTS,\200_TOR_PCC\03_3POINTS\034_3POINTS_RIB_F_v01.mov,-,nclc,nclc,15015,221221771,9504,144,66.000,CFR,29.970,415238236,-,-,-,-,-,-,-,-
,04_JAMMIN,044_JAMMIN_RIB_F_v01.mov,1,,1,200,044,010,RIB_F,15s,,-,41,,Dunk Option ,,200_TOR_PCC,04_JAMMIN,\200_TOR_PCC\04_JAMMIN\044_JAMMIN_RIB_F_v01.mov,-,nclc,nclc,15015,160191792,9504,144,66.000,CFR,29.970,300692481,-,-,-,-,-,-,-,-
