UTAH JAZZ Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210_UTA_PCC,00_3Point1,001_3Point1_AUD_F_v01.mov,1,,1,210,001,001,AUD_F,4.03s,,-,,,Do the colors shift with jerseys???,,210_UTA_PCC,00_3Point1,\210_UTA_PCC\00_3Point1\001_3Point1_AUD_F_v01.mov,-,nclc,nclc,4038,1318638900,10160,1600,6.350,CFR,29.970,666438616,PCM,Little / Signed,sowt,4038,2,L R,44100,16
,,004_3Point1_RIB_F_v02.mov,2,,2,210,004,010,RIB_F,4.03s,,-,,,,7/21/2020 10:29:23,210_UTA_PCC,00_3Point1,\210_UTA_PCC\00_3Point1\004_3Point1_RIB_F_v02.mov,-,nclc,nclc,4038,143608629,9504,144,66.000,CFR,29.970,73443511,PCM,Little / Signed,sowt,4038,2,L R,44100,16
,,008_3Point1_SCB_v01.mov,1,,1,210,008,017,SCB,4.03s,,-,,,,,210_UTA_PCC,00_3Point1,\210_UTA_PCC\00_3Point1\008_3Point1_SCB_v01.mov,-,nclc,nclc,4038,266561655,1920,1080,1.778,CFR,29.970,135452871,PCM,Little / Signed,sowt,4038,2,L R,44100,16
,01_3Point2,011_3Point2_AUD_F_v01.mov,1,,1,210,011,001,AUD_F,4.03s,,-,,,,,210_UTA_PCC,01_3Point2,\210_UTA_PCC\01_3Point2\011_3Point2_AUD_F_v01.mov,-,nclc,nclc,4038,1134694041,10160,1600,6.350,CFR,29.970,573618498,PCM,Little / Signed,sowt,4038,2,L R,44100,16
,,014_3Point2_RIB_F_v02.mov,2,,2,210,014,010,RIB_F,4.03s,,-,,,,7/21/2020 10:29:23,210_UTA_PCC,01_3Point2,\210_UTA_PCC\01_3Point2\014_3Point2_RIB_F_v02.mov,-,nclc,nclc,4038,128771977,9504,144,66.000,CFR,29.970,65970186,PCM,Little / Signed,sowt,4038,2,L R,44100,16
,,018_3Point2_SCB_v01.mov,1,,1,210,018,017,SCB,4.03s,,-,,,,,210_UTA_PCC,01_3Point2,\210_UTA_PCC\01_3Point2\018_3Point2_SCB_v01.mov,-,nclc,nclc,4038,274252315,1920,1080,1.778,CFR,29.970,139343837,PCM,Little / Signed,sowt,4038,2,L R,44100,16
,02_Dunk1,021_Dunk1_AUD_F_v01.mov,1,,1,210,021,001,AUD_F,4.03s,,-,,,,,210_UTA_PCC,02_Dunk1,\210_UTA_PCC\02_Dunk1\021_Dunk1_AUD_F_v01.mov,-,nclc,nclc,4038,4882335648,10160,1600,6.350,CFR,29.970,2463976508,-,-,-,-,-,-,-,-
,,024_Dunk1_RIB_F_v02.mov,2,,2,210,024,010,RIB_F,3s,,-,,,,7/21/2020 10:29:26,210_UTA_PCC,02_Dunk1,\210_UTA_PCC\02_Dunk1\024_Dunk1_RIB_F_v02.mov,-,nclc,nclc,3003,398270342,9504,144,66.000,CFR,29.970,149502275,-,-,-,-,-,-,-,-
,,028_Dunk1_SCB_v01.mov,1,,1,210,028,017,SCB,3s,,-,,,,,210_UTA_PCC,02_Dunk1,\210_UTA_PCC\02_Dunk1\028_Dunk1_SCB_v01.mov,-,nclc,nclc,3003,634948893,1920,1080,1.778,CFR,29.970,238345575,-,-,-,-,-,-,-,-
,03_Dunk2,031_Dunk2_AUD_F_v01.mov,1,,1,210,031,001,AUD_F,4.03s,,-,,,,,210_UTA_PCC,03_Dunk2,\210_UTA_PCC\03_Dunk2\031_Dunk2_AUD_F_v01.mov,-,nclc,nclc,4038,4703995457,10160,1600,6.350,CFR,29.970,2373973325,-,-,-,-,-,-,-,-
,,034_Dunk2_RIB_F_v02.mov,2,,2,210,034,010,RIB_F,2s,,-,,,,7/21/2020 10:29:26,210_UTA_PCC,03_Dunk2,\210_UTA_PCC\03_Dunk2\034_Dunk2_RIB_F_v02.mov,-,nclc,nclc,2002,374455833,9504,144,66.000,CFR,29.970,93708822,-,-,-,-,-,-,-,-
,,038_Dunk2_SCB_v01.mov,1,,1,210,038,017,SCB,2.63s,,-,,,,,210_UTA_PCC,03_Dunk2,\210_UTA_PCC\03_Dunk2\038_Dunk2_SCB_v01.mov,-,nclc,nclc,2636,607562377,1920,1080,1.778,CFR,29.970,200190780,-,-,-,-,-,-,-,-
,04_Defense1,040_Defense1_AUDIO_v01.mov,1,,1,210,040,024,AUDIO,3.27s,,-,,,,,210_UTA_PCC,04_Defense1,\210_UTA_PCC\04_Defense1\040_Defense1_AUDIO_v01.mov,-,nclc,nclc,3270,65885,16,16,1.000,CFR,29.970,733964,PCM,Little / Signed,sowt,3270,2,L R,48000,16
,,041_Defense1_AUD_F_v01.mov,1,,1,210,041,001,AUD_F,3.27s,,-,,,,,210_UTA_PCC,04_Defense1,\210_UTA_PCC\04_Defense1\041_Defense1_AUD_F_v01.mov,-,nclc,nclc,3270,1920755423,10160,1600,6.350,CFR,29.970,785314020,-,-,-,-,-,-,-,-
,,044_Defense1_RIB_F_v02.mov,2,,2,210,044,010,RIB_F,3.27s,,-,,,,7/21/2020 10:29:14,210_UTA_PCC,04_Defense1,\210_UTA_PCC\04_Defense1\044_Defense1_RIB_F_v02.mov,-,nclc,nclc,3270,140275028,9504,144,66.000,CFR,29.970,57597328,-,-,-,-,-,-,-,-
,,048_Defense1_SCB_v01.mov,1,,1,210,048,017,SCB,3.27s,,-,,,,,210_UTA_PCC,04_Defense1,\210_UTA_PCC\04_Defense1\048_Defense1_SCB_v01.mov,-,nclc,nclc,3270,270912457,1920,1080,1.778,CFR,29.970,111388902,PCM,Little / Signed,sowt,3270,2,L R,44100,16
,05_Defense2,050_Defense2_AUDIO_v01.mov,1,,1,210,050,024,AUDIO,3.27s,,-,,,,7/21/2020 10:29:11,210_UTA_PCC,05_Defense2,\210_UTA_PCC\05_Defense2\050_Defense2_AUDIO_v01.mov,-,nclc,nclc,3270,65653,16,16,1.000,CFR,29.970,732475,PCM,Little / Signed,sowt,3270,2,L R,48000,16
,,051_Defense2_AUD_F_v01.mov,1,,1,210,051,001,AUD_F,3.27s,,-,,,,7/21/2020 10:29:11,210_UTA_PCC,05_Defense2,\210_UTA_PCC\05_Defense2\051_Defense2_AUD_F_v01.mov,-,nclc,nclc,3270,1557703841,10160,1600,6.350,CFR,29.970,637037895,-,-,-,-,-,-,-,-
,,054_Defense2_RIB_F_v02.mov,2,,2,210,054,010,RIB_F,3.27s,,-,,,,7/21/2020 10:29:08,210_UTA_PCC,05_Defense2,\210_UTA_PCC\05_Defense2\054_Defense2_RIB_F_v02.mov,-,nclc,nclc,3270,150319323,9504,144,66.000,CFR,29.970,62415574,PCM,Little / Signed,sowt,3270,2,L R,44100,16
,,058_Defense2_SCB_v01.mov,1,,1,210,058,017,SCB,3.27s,,-,,,,7/21/2020 10:29:07,210_UTA_PCC,05_Defense2,\210_UTA_PCC\05_Defense2\058_Defense2_SCB_v01.mov,-,nclc,nclc,3270,212691783,1920,1080,1.778,CFR,29.970,87590287,PCM,Little / Signed,sowt,3270,2,L R,44100,16
