WASHINGTON WIZARDS Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Content Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220_WAS_PCC,,,,,,,,,,,,-,,,,,220_WAS_PCC,,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
221_WAS_FERA,00_EntertainerReax1,000_EntertainerReax1_AUDIO_v00.mov,0,,0,221,000,024,AUDIO,10s,,-,,,Goes up in intensity from 1 thru 5 ,,221_WAS_FERA,00_EntertainerReax1,\221_WAS_FERA\00_EntertainerReax1\000_EntertainerReax1_AUDIO_v00.mov,-,nclc,nclc,10010,96143,16,16,1.000,CFR,29.970,2079763,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,001_EntertainerReax1_AUD_N_v00.mov,0,,0,221,001,002,AUD_N,10s,,-,,,,,221_WAS_FERA,00_EntertainerReax1,\221_WAS_FERA\00_EntertainerReax1\001_EntertainerReax1_AUD_N_v00.mov,-,nclc,nclc,10010,850447364,5280,800,6.600,CFR,29.970,1066082798,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,002_EntertainerReax1_AUD_S_v00.mov,0,,0,221,002,003,AUD_S,10s,,-,,,,,221_WAS_FERA,00_EntertainerReax1,\221_WAS_FERA\00_EntertainerReax1\002_EntertainerReax1_AUD_S_v00.mov,-,nclc,nclc,10010,850293384,5280,800,6.600,CFR,29.970,1065890131,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,003_EntertainerReax1_AUD_C_v00.mov,0,,0,221,003,004,AUD_C,10s,,-,,,,,221_WAS_FERA,00_EntertainerReax1,\221_WAS_FERA\00_EntertainerReax1\003_EntertainerReax1_AUD_C_v00.mov,-,nclc,nclc,10010,1641489551,9760,800,12.200,CFR,29.970,2055875325,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,01_EntertainerReax2,010_EntertainerReax2_AUDIO_v00.mov,0,,0,221,010,024,AUDIO,10s,,-,,,,,221_WAS_FERA,01_EntertainerReax2,\221_WAS_FERA\01_EntertainerReax2\010_EntertainerReax2_AUDIO_v00.mov,-,nclc,nclc,10010,96133,16,16,1.000,CFR,29.970,2079750,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,011_EntertainerReax2_AUD_N_v00.mov,0,,0,221,011,002,AUD_N,10s,,-,,,,,221_WAS_FERA,01_EntertainerReax2,\221_WAS_FERA\01_EntertainerReax2\011_EntertainerReax2_AUD_N_v00.mov,-,nclc,nclc,10010,864671564,5280,800,6.600,CFR,29.970,1083880846,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,012_EntertainerReax2_AUD_S_v00.mov,0,,0,221,012,003,AUD_S,10s,,-,,,,,221_WAS_FERA,01_EntertainerReax2,\221_WAS_FERA\01_EntertainerReax2\012_EntertainerReax2_AUD_S_v00.mov,-,nclc,nclc,10010,864231772,5280,800,6.600,CFR,29.970,1083330556,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,013_EntertainerReax2_AUD_C_v00.mov,0,,0,221,013,004,AUD_C,10s,,-,,,,,221_WAS_FERA,01_EntertainerReax2,\221_WAS_FERA\01_EntertainerReax2\013_EntertainerReax2_AUD_C_v00.mov,-,nclc,nclc,10010,1669160115,9760,800,12.200,CFR,29.970,2090498152,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,02_EntertainerReax3,020_EntertainerReax3_AUDIO_v00.mov,0,,0,221,020,024,AUDIO,10s,,-,,,,,221_WAS_FERA,02_EntertainerReax3,\221_WAS_FERA\02_EntertainerReax3\020_EntertainerReax3_AUDIO_v00.mov,-,nclc,nclc,10010,96135,16,16,1.000,CFR,29.970,2079753,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,021_EntertainerReax3_AUD_N_v00.mov,0,,0,221,021,002,AUD_N,10s,,-,,,,,221_WAS_FERA,02_EntertainerReax3,\221_WAS_FERA\02_EntertainerReax3\021_EntertainerReax3_AUD_N_v00.mov,-,nclc,nclc,10010,865106120,5280,800,6.600,CFR,29.970,1084424585,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,022_EntertainerReax3_AUD_S_v01.mov,1,,1,221,022,003,AUD_S,10s,,-,,,,,221_WAS_FERA,02_EntertainerReax3,\221_WAS_FERA\02_EntertainerReax3\022_EntertainerReax3_AUD_S_v01.mov,-,nclc,nclc,10010,865106120,5280,800,6.600,CFR,29.970,1084424585,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,023_EntertainerReax3_AUD_C_v00.mov,0,,0,221,023,004,AUD_C,10s,,-,,,,,221_WAS_FERA,02_EntertainerReax3,\221_WAS_FERA\02_EntertainerReax3\023_EntertainerReax3_AUD_C_v00.mov,-,nclc,nclc,10010,1666153044,9760,800,12.200,CFR,29.970,2086735551,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,03_EntertainerReax4,030_EntertainerReax4_AUDIO_v00.mov,0,,0,221,030,024,AUDIO,10s,,-,,,,,221_WAS_FERA,03_EntertainerReax4,\221_WAS_FERA\03_EntertainerReax4\030_EntertainerReax4_AUDIO_v00.mov,-,nclc,nclc,10010,96143,16,16,1.000,CFR,29.970,2079763,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,031_EntertainerReax4_AUD_N_v00.mov,0,,0,221,031,002,AUD_N,10s,,-,,,,,221_WAS_FERA,03_EntertainerReax4,\221_WAS_FERA\03_EntertainerReax4\031_EntertainerReax4_AUD_N_v00.mov,-,nclc,nclc,10010,873718994,5280,800,6.600,CFR,29.970,1095201455,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,032_EntertainerReax4_AUD_S_v00.mov,0,,0,221,032,003,AUD_S,10s,,-,,,,,221_WAS_FERA,03_EntertainerReax4,\221_WAS_FERA\03_EntertainerReax4\032_EntertainerReax4_AUD_S_v00.mov,-,nclc,nclc,10010,873718994,5280,800,6.600,CFR,29.970,1095201455,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,033_EntertainerReax4_AUD_C_v00.mov,0,,0,221,033,004,AUD_C,10s,,-,,,,,221_WAS_FERA,03_EntertainerReax4,\221_WAS_FERA\03_EntertainerReax4\033_EntertainerReax4_AUD_C_v00.mov,-,nclc,nclc,10010,1682939006,9760,800,12.200,CFR,29.970,2107739007,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,04_EntertainerReax5,040_EntertainerReax5_AUDIO_v00.mov,0,,0,221,040,024,AUDIO,10s,,-,,,,,221_WAS_FERA,04_EntertainerReax5,\221_WAS_FERA\04_EntertainerReax5\040_EntertainerReax5_AUDIO_v00.mov,-,nclc,nclc,10010,96145,16,16,1.000,CFR,29.970,2079765,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,041_EntertainerReax5_AUD_N_v00.mov,0,,0,221,041,002,AUD_N,10s,,-,,,,,221_WAS_FERA,04_EntertainerReax5,\221_WAS_FERA\04_EntertainerReax5\041_EntertainerReax5_AUD_N_v00.mov,-,nclc,nclc,10010,861537624,5280,800,6.600,CFR,29.970,1079959500,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,042_EntertainerReax5_AUD_S_v00.mov,0,,0,221,042,003,AUD_S,10s,,-,,,,,221_WAS_FERA,04_EntertainerReax5,\221_WAS_FERA\04_EntertainerReax5\042_EntertainerReax5_AUD_S_v00.mov,-,nclc,nclc,10010,861537624,5280,800,6.600,CFR,29.970,1079959500,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,043_EntertainerReax5_AUD_C_v00.mov,0,,0,221,043,004,AUD_C,10s,,-,,,,,221_WAS_FERA,04_EntertainerReax5,\221_WAS_FERA\04_EntertainerReax5\043_EntertainerReax5_AUD_C_v00.mov,-,nclc,nclc,10010,1651979365,9760,800,12.200,CFR,29.970,2069000717,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,05_Anthem_DCWashington,050_Anthem_DCWashington_AUDIO_v00.mov,0,,0,221,050,024,AUDIO,1m15.07s,,-A,,,,,221_WAS_FERA,05_Anthem_DCWashington,\221_WAS_FERA\05_Anthem_DCWashington\050_Anthem_DCWashington_AUDIO_v00.mov,-A,nclc,nclc,75142,93267,16,16,1.000,CFR,29.970,14368469,PCM,Little / Signed,sowt,75142,2,L R,44100,16
,,051_Anthem_DCWashington_AUD_N_v00.mov,0,,0,221,051,002,AUD_N,1m15.07s,,-,,,,,221_WAS_FERA,05_Anthem_DCWashington,\221_WAS_FERA\05_Anthem_DCWashington\051_Anthem_DCWashington_AUD_N_v00.mov,-,nclc,nclc,75142,613673396,5280,800,6.600,CFR,29.970,5777613808,PCM,Little / Signed,sowt,75142,2,L R,44100,16
,,052_Anthem_DCWashington_AUD_S_v00.mov,0,,0,221,052,003,AUD_S,1m15.07s,,-,,,,,221_WAS_FERA,05_Anthem_DCWashington,\221_WAS_FERA\05_Anthem_DCWashington\052_Anthem_DCWashington_AUD_S_v00.mov,-,nclc,nclc,75142,613675117,5280,800,6.600,CFR,29.970,5777633531,PCM,Little / Signed,sowt,75142,2,L R,44100,16
,,053_Anthem_DCWashington_AUD_C_v00.mov,0,,0,221,053,004,AUD_C,1m15.07s,,-,,,,,221_WAS_FERA,05_Anthem_DCWashington,\221_WAS_FERA\05_Anthem_DCWashington\053_Anthem_DCWashington_AUD_C_v00.mov,-,nclc,nclc,75142,824036793,9760,800,12.200,CFR,29.970,7753499066,PCM,Little / Signed,sowt,75142,2,L R,44100,16
,,054_Anthem_DCWashington_RIB_F_v00.mov,0,,0,221,054,010,RIB_F,1m15.07s,,-,,,,,221_WAS_FERA,05_Anthem_DCWashington,\221_WAS_FERA\05_Anthem_DCWashington\054_Anthem_DCWashington_RIB_F_v00.mov,-,nclc,nclc,75142,137292321,9504,144,66.000,CFR,29.970,1302986928,PCM,Little / Signed,sowt,75142,2,L R,44100,16
,,058_Anthem_DCWashington_SCB_v00.mov,0,,0,221,058,017,SCB,1m15.07s,,-,,,,,221_WAS_FERA,05_Anthem_DCWashington,\221_WAS_FERA\05_Anthem_DCWashington\058_Anthem_DCWashington_SCB_v00.mov,-,nclc,nclc,75142,383386815,1920,1080,1.778,CFR,29.970,3614602758,PCM,Little / Signed,sowt,75142,2,L R,44100,16
,06_Anthem_JarreauWiliams,060_Anthem_JarreauWiliams_AUDIO_v00.mov,0,,0,221,060,024,AUDIO,1m34.8s,,-A,,,,,221_WAS_FERA,06_Anthem_JarreauWiliams,\221_WAS_FERA\06_Anthem_JarreauWiliams\060_Anthem_JarreauWiliams_AUDIO_v00.mov,-A,nclc,nclc,94895,93261,16,16,1.000,CFR,29.970,18123214,PCM,Little / Signed,sowt,94895,2,L R,44100,16
,,061_Anthem_JarreauWiliams_AUD_N_v00.mov,0,,0,221,061,002,AUD_N,1m34.8s,,-,,,,,221_WAS_FERA,06_Anthem_JarreauWiliams,\221_WAS_FERA\06_Anthem_JarreauWiliams\061_Anthem_JarreauWiliams_AUD_N_v00.mov,-,nclc,nclc,94895,569437700,5280,800,6.600,CFR,29.970,6771663062,PCM,Little / Signed,sowt,94895,2,L R,44100,16
,,062_Anthem_JarreauWiliams_AUD_S_v00.mov,0,,0,221,062,003,AUD_S,1m34.8s,,-,,,,,221_WAS_FERA,06_Anthem_JarreauWiliams,\221_WAS_FERA\06_Anthem_JarreauWiliams\062_Anthem_JarreauWiliams_AUD_S_v00.mov,-,nclc,nclc,94895,569424201,5280,800,6.600,CFR,29.970,6771506498,PCM,Little / Signed,sowt,94895,2,L R,44100,16
,,063_Anthem_JarreauWiliams_AUD_C_v00.mov,0,,0,221,063,004,AUD_C,1m34.8s,,-,,,,,221_WAS_FERA,06_Anthem_JarreauWiliams,\221_WAS_FERA\06_Anthem_JarreauWiliams\063_Anthem_JarreauWiliams_AUD_C_v00.mov,-,nclc,nclc,94895,779779773,9760,800,12.200,CFR,29.970,9266711675,PCM,Little / Signed,sowt,94895,2,L R,44100,16
,,064_Anthem_JarreauWiliams_RIB_F_v00.mov,0,,0,221,064,010,RIB_F,1m34.8s,,-,,,,,221_WAS_FERA,06_Anthem_JarreauWiliams,\221_WAS_FERA\06_Anthem_JarreauWiliams\064_Anthem_JarreauWiliams_RIB_F_v00.mov,-,nclc,nclc,94895,137241166,9504,144,66.000,CFR,29.970,1644884728,PCM,Little / Signed,sowt,94895,2,L R,44100,16
,,068_Anthem_JarreauWiliams_SCB_v00.mov,0,,0,221,068,017,SCB,1m34.8s,,-,,,,,221_WAS_FERA,06_Anthem_JarreauWiliams,\221_WAS_FERA\06_Anthem_JarreauWiliams\068_Anthem_JarreauWiliams_SCB_v00.mov,-,nclc,nclc,94895,313888611,1920,1080,1.778,CFR,29.970,3740383517,PCM,Little / Signed,sowt,94895,2,L R,44100,16
,07_Anthem_NicholeChimer,070_Anthem_NicholeChimere_AUDIO_v00.mov,0,,0,221,070,024,AUDIO,1m34.33s,,-A,,,,,221_WAS_FERA,07_Anthem_NicholeChimer,\221_WAS_FERA\07_Anthem_NicholeChimer\070_Anthem_NicholeChimere_AUDIO_v00.mov,-A,nclc,nclc,94428,93266,16,16,1.000,CFR,29.970,18038374,PCM,Little / Signed,sowt,94428,2,L R,44100,16
,,071_Anthem_NicholeChimere_AUD_N_v00.mov,0,,0,221,071,002,AUD_N,1m34.33s,,-,,,,,221_WAS_FERA,07_Anthem_NicholeChimer,\221_WAS_FERA\07_Anthem_NicholeChimer\071_Anthem_NicholeChimere_AUD_N_v00.mov,-,nclc,nclc,94428,556466984,5280,800,6.600,CFR,29.970,6585233692,PCM,Little / Signed,sowt,94428,2,L R,44100,16
,,072_Anthem_NicholeChimere_AUD_S_v00.mov,0,,0,221,072,003,AUD_S,1m34.33s,,-,,,,,221_WAS_FERA,07_Anthem_NicholeChimer,\221_WAS_FERA\07_Anthem_NicholeChimer\072_Anthem_NicholeChimere_AUD_S_v00.mov,-,nclc,nclc,94428,556475103,5280,800,6.600,CFR,29.970,6585333090,PCM,Little / Signed,sowt,94428,2,L R,44100,16
,,073_Anthem_NicholeChimere_AUD_C_v00.mov,0,,0,221,073,004,AUD_C,1m34.33s,,-,,,,,221_WAS_FERA,07_Anthem_NicholeChimer,\221_WAS_FERA\07_Anthem_NicholeChimer\073_Anthem_NicholeChimere_AUD_C_v00.mov,-,nclc,nclc,94428,767307379,9760,800,12.200,CFR,29.970,9073882008,PCM,Little / Signed,sowt,94428,2,L R,44100,16
,,074_Anthem_NicholeChimere_RIB_F_v00.mov,0,,0,221,074,010,RIB_F,1m34.33s,,-,,,,,221_WAS_FERA,07_Anthem_NicholeChimer,\221_WAS_FERA\07_Anthem_NicholeChimer\074_Anthem_NicholeChimere_RIB_F_v00.mov,-,nclc,nclc,94428,137257168,9504,144,66.000,CFR,29.970,1636980444,PCM,Little / Signed,sowt,94428,2,L R,44100,16
,,078_Anthem_NicholeChimere_SCB_v00.mov,0,,0,221,078,017,SCB,1m34.33s,,-,,,,,221_WAS_FERA,07_Anthem_NicholeChimer,\221_WAS_FERA\07_Anthem_NicholeChimer\078_Anthem_NicholeChimere_SCB_v00.mov,-,nclc,nclc,94428,301382184,1920,1080,1.778,CFR,29.970,3574356104,PCM,Little / Signed,sowt,94428,2,L R,44100,16
,08_Anthem_USFlagsOnly,081_Anthem_USFlagsOnly_AUD_N_v00.mov,0,,0,221,081,002,AUD_N,1m36.13s,,-,,,OOOOO CLEAN FLAGS,,221_WAS_FERA,08_Anthem_USFlagsOnly,\221_WAS_FERA\08_Anthem_USFlagsOnly\081_Anthem_USFlagsOnly_AUD_N_v00.mov,-,nclc,nclc,96230,477952556,5280,800,6.600,CFR,29.970,5766425741,PCM,Little / Signed,sowt,96230,2,L R,44100,16
,,082_Anthem_USFlagsOnly_AUD_S_v00.mov,0,,0,221,082,003,AUD_S,1m36.13s,,-,,,,,221_WAS_FERA,08_Anthem_USFlagsOnly,\221_WAS_FERA\08_Anthem_USFlagsOnly\082_Anthem_USFlagsOnly_AUD_S_v00.mov,-,nclc,nclc,96230,477947692,5280,800,6.600,CFR,29.970,5766370781,PCM,Little / Signed,sowt,96230,2,L R,44100,16
,,083_Anthem_USFlagsOnly_AUD_C_v00.mov,0,,0,221,083,004,AUD_C,1m36.13s,,-,,,,,221_WAS_FERA,08_Anthem_USFlagsOnly,\221_WAS_FERA\08_Anthem_USFlagsOnly\083_Anthem_USFlagsOnly_AUD_C_v00.mov,-,nclc,nclc,96230,656199592,9760,800,12.200,CFR,29.970,7910505033,PCM,Little / Signed,sowt,96230,2,L R,44100,16
,,084_Anthem_USFlagsOnly_RIB_F_v00.mov,0,,0,221,084,010,RIB_F,1m36.13s,,-,,,,,221_WAS_FERA,08_Anthem_USFlagsOnly,\221_WAS_FERA\08_Anthem_USFlagsOnly\084_Anthem_USFlagsOnly_RIB_F_v00.mov,-,nclc,nclc,96230,137621647,9504,144,66.000,CFR,29.970,1672594841,PCM,Little / Signed,sowt,96230,2,L R,44100,16
,,088_Anthem_USFlagsOnly_SCB_v00.mov,0,,0,221,088,017,SCB,1m36.13s,,-,,,,,221_WAS_FERA,08_Anthem_USFlagsOnly,\221_WAS_FERA\08_Anthem_USFlagsOnly\088_Anthem_USFlagsOnly_SCB_v00.mov,-,nclc,nclc,96230,222641380,1920,1080,1.778,CFR,29.970,2695376351,PCM,Little / Signed,sowt,96230,2,L R,44100,16
222_WAS_Image_1,00_LogoLoop,001_LogoLoop_AUD_N_v01.mov,1,,1,222,001,002,AUD_N,15.03s,,-,,,Deault Screen saver ,,222_WAS_Image_1,00_LogoLoop,\222_WAS_Image_1\00_LogoLoop\001_LogoLoop_AUD_N_v01.mov,-,nclc,nclc,15049,82488164,5280,800,6.600,CFR,29.970,158483141,PCM,Little / Signed,sowt,15049,2,L R,44100,16
,,002_LogoLoop_AUD_S_v01.mov,1,,1,222,002,003,AUD_S,15.03s,,-,,,,,222_WAS_Image_1,00_LogoLoop,\222_WAS_Image_1\00_LogoLoop\002_LogoLoop_AUD_S_v01.mov,-,nclc,nclc,15049,82484320,5280,800,6.600,CFR,29.970,158568963,PCM,Little / Signed,sowt,15049,2,L R,44100,16
,,003_LogoLoop_AUD_C_v01.mov,1,,1,222,003,004,AUD_C,15.03s,,-,,,,,222_WAS_Image_1,00_LogoLoop,\222_WAS_Image_1\00_LogoLoop\003_LogoLoop_AUD_C_v01.mov,-,nclc,nclc,15049,1235203584,9760,800,12.200,CFR,29.970,2327608375,PCM,Little / Signed,sowt,15049,2,L R,44100,16
,,004_LogoLoop_RIB_F_v01.mov,1,,1,222,004,010,RIB_F,15.03s,,-,,,,,222_WAS_Image_1,00_LogoLoop,\222_WAS_Image_1\00_LogoLoop\004_LogoLoop_RIB_F_v01.mov,-,nclc,nclc,15049,49452123,9504,144,66.000,CFR,29.970,96712028,PCM,Little / Signed,sowt,15049,2,L R,44100,16
,,008_LogoLoop_SCB_v01.mov,1,,1,222,008,017,SCB,15.03s,,-,,,,,222_WAS_Image_1,00_LogoLoop,\222_WAS_Image_1\00_LogoLoop\008_LogoLoop_SCB_v01.mov,-,nclc,nclc,15049,365926570,1920,1080,1.778,CFR,29.970,692313009,PCM,Little / Signed,sowt,15049,2,L R,44100,16
,01_LogoStatic,011_LogoStatic_AUD_N_v00.mov,0,Wrong Frame Rate -CD,0,222,011,002,AUD_N,0.03s,,-R,,,Static for FT,,222_WAS_Image_1,01_LogoStatic,\222_WAS_Image_1\01_LogoStatic\011_LogoStatic_AUD_N_v00.mov,-R,nclc,nclc,34,98398080,5280,800,6.600,CFR,30.000,1061480,PCM,Little / Signed,sowt,34,2,L R,44100,16
,,012_LogoStatic_AUD_S_v00.mov,0,Wrong Frame Rate -CD,0,222,012,003,AUD_S,0.03s,,-R,,,,,222_WAS_Image_1,01_LogoStatic,\222_WAS_Image_1\01_LogoStatic\012_LogoStatic_AUD_S_v00.mov,-R,nclc,nclc,34,98898720,5280,800,6.600,CFR,30.000,1169358,PCM,Little / Signed,sowt,34,2,L R,44100,16
,,013_LogoStatic_AUD_C_v00.mov,0,Wrong Frame Rate -CD,0,222,013,004,AUD_C,0.03s,,-R,,,,,222_WAS_Image_1,01_LogoStatic,\222_WAS_Image_1\01_LogoStatic\013_LogoStatic_AUD_C_v00.mov,-R,nclc,nclc,34,972306720,9760,800,12.200,CFR,30.000,5515270,PCM,Little / Signed,sowt,34,2,L R,44100,16
,,014_LogoStatic_RIB_F_v00.mov,0,Wrong Frame Rate -CD,0,222,014,010,RIB_F,0.03s,,-R,,,,,222_WAS_Image_1,01_LogoStatic,\222_WAS_Image_1\01_LogoStatic\014_LogoStatic_RIB_F_v00.mov,-R,nclc,nclc,34,56909520,9504,144,66.000,CFR,30.000,1260137,PCM,Little / Signed,sowt,34,2,L R,44100,16
,,018_LogoStatic_SCB_v00.mov,0,Wrong Frame Rate -CD,0,222,018,017,SCB,0.03s,,-R,,,,,222_WAS_Image_1,01_LogoStatic,\222_WAS_Image_1\01_LogoStatic\018_LogoStatic_SCB_v00.mov,-R,nclc,nclc,34,312338400,1920,1080,1.778,CFR,30.000,2622690,PCM,Little / Signed,sowt,34,2,L R,44100,16
,02_WizardsBumper,021_WizardsBumper_AUD_N_v00.mov,0,,0,222,021,002,AUD_N,3.37s,,-,,,To bump in and out of the fans  - to cover latency if needed ,,222_WAS_Image_1,02_WizardsBumper,\222_WAS_Image_1\02_WizardsBumper\021_WizardsBumper_AUD_N_v00.mov,-,nclc,nclc,3371,31466010,5280,800,6.600,CFR,29.970,14233271,PCM,Little / Signed,sowt,3371,2,L R,44100,16
,,022_WizardsBumper_AUD_S_v00.mov,0,,0,222,022,003,AUD_S,3.37s,,-,,,,,222_WAS_Image_1,02_WizardsBumper,\222_WAS_Image_1\02_WizardsBumper\022_WizardsBumper_AUD_S_v00.mov,-,nclc,nclc,3371,31484960,5280,800,6.600,CFR,29.970,14385490,PCM,Little / Signed,sowt,3371,2,L R,44100,16
,,023_WizardsBumper_AUD_C_v00.mov,0,,0,222,023,004,AUD_C,3.37s,,-,,,,,222_WAS_Image_1,02_WizardsBumper,\222_WAS_Image_1\02_WizardsBumper\023_WizardsBumper_AUD_C_v00.mov,-,nclc,nclc,3371,57820355,9760,800,12.200,CFR,29.970,25604000,PCM,Little / Signed,sowt,3371,2,L R,44100,16
,,024_WizardsBumper_RIB_F_v00.mov,0,,0,222,024,010,RIB_F,3.37s,,-,,,,,222_WAS_Image_1,02_WizardsBumper,\222_WAS_Image_1\02_WizardsBumper\024_WizardsBumper_RIB_F_v00.mov,-,nclc,nclc,3371,19350550,9504,144,66.000,CFR,29.970,9217932,PCM,Little / Signed,sowt,3371,2,L R,44100,16
,03_WizardsRibbon,034_WizardsRibbon_RIB_F_v00.mov,0,,0,222,034,010,RIB_F,,,-F,,,,,222_WAS_Image_1,03_WizardsRibbon,\222_WAS_Image_1\03_WizardsRibbon\034_WizardsRibbon_RIB_F_v00.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,04_DC3_Pointers,041_DC3_Pointers_AUD_N_v00.mov,0,,0,222,041,002,AUD_N,15.03s,,-,,,,,222_WAS_Image_1,04_DC3_Pointers,\222_WAS_Image_1\04_DC3_Pointers\041_DC3_Pointers_AUD_N_v00.mov,-,nclc,nclc,15049,66333307,5280,800,6.600,CFR,29.970,127825503,PCM,Little / Signed,sowt,15049,2,L R,44100,16
,,042_DC3_Pointers_AUD_S_v00.mov,0,,0,222,042,003,AUD_S,15.03s,,-,,,,,222_WAS_Image_1,04_DC3_Pointers,\222_WAS_Image_1\04_DC3_Pointers\042_DC3_Pointers_AUD_S_v00.mov,-,nclc,nclc,15049,65903179,5280,800,6.600,CFR,29.970,127013679,PCM,Little / Signed,sowt,15049,2,L R,44100,16
